mstar a zstar alpha beta
23.0 8.196816100933681 0.49278415534564385 0.9428674365495153 2.3162322444699135
23.008016032064127 8.18437803927812 0.4932722949392357 0.9438065514631134 2.3121042469911344
23.016032064128257 8.172105375719793 0.493756329878866 0.9447520663506787 2.3079608530685363
23.024048096192384 8.160002561567579 0.49423613069929867 0.9457042703141362 2.3038018747509637
23.03206412825651 8.14806276698192 0.49471178921476816 0.9466628054441035 2.2996281160144987
23.04008016032064 8.136286731910282 0.49518324913288025 0.9476277461926098 2.295439718359112
23.04809619238477 8.124673212964087 0.49565049348822265 0.9485990528643259 2.291237001244259
23.0561122244489 8.113221695416954 0.49611346995572586 0.9495766536909779 2.2870196417108595
23.064128256513026 8.101928899168499 0.4965722487965119 0.9505605489452044 2.282789410209087
23.072144288577153 8.090794763765075 0.49702676642058197 0.9515506798068846 2.27854584221991
23.080160320641284 8.079818429973141 0.4974769936596523 0.9525470066255598 2.274289141810591
23.08817635270541 8.068997423250066 0.49792295500789485 0.9535494605675167 2.270019985712481
23.096192384769537 8.05833107016694 0.4983646160304532 0.9545580029967088 2.2657385087788935
23.104208416833668 8.047817799410065 0.4988019695705912 0.9555725704496778 2.261445087341337
23.112224448897795 8.037456251168615 0.49923500494152323 0.9565931114597622 2.2571400735144533
23.120240480961925 8.02724494430074 0.49966370455891385 0.9576195359253831 2.252823663017156
23.128256513026052 8.017181326339688 0.5000881113217212 0.9586518110115352 2.2484968514446293
23.13627254509018 8.007264944000427 0.5005081709747751 0.9596898507432228 2.2441594137618357
23.14428857715431 7.997493718394338 0.5009238987681005 0.96073358771449 2.2398119542447126
23.152304609218437 7.987866040211608 0.5013352919990045 0.9617829523913473 2.2354548607885407
23.160320641282564 7.978381123394104 0.5017423347069794 0.9628379322673858 2.2310884887244904
23.168336673346694 7.969037322059394 0.5021450195801822 0.9638984345319702 2.2267131212607163
23.17635270541082 7.9598266854317625 0.5025434770262186 0.9649640155652113 2.2223298222478824
23.18436873747495 7.95075596189391 0.5029375433077197 0.9660351214402759 2.2179382527928952
23.19238476953908 7.941818461403852 0.5033273379805949 0.9671114221416529 2.2135395666870568
23.200400801603205 7.93301620460866 0.5037127297276858 0.968192884520467 2.2091328295372796
23.208416833667336 7.924344677397671 0.5040938308982051 0.9692794151027181 2.2047195731549634
23.216432865731463 7.915803336316588 0.5044706058766918 0.9703709539098279 2.200299816269766
23.22444889779559 7.907387001089863 0.5048431522190614 0.9714672723115019 2.195874617068777
23.23246492985972 7.899096127775438 0.5052114153213705 0.9725683687786398 2.1914439094269205
23.240480961923847 7.8909286526758615 0.5055754101186984 0.9736741412344396 2.1870081399665757
23.248496993987978 7.882882445489194 0.5059351539236752 0.9747844832871735 2.1825677634540472
23.256513026052104 7.874955500814715 0.5062906620281861 0.9758992948663034 2.1781232161190047
23.26452905811623 7.867145555547576 0.5066419566245413 0.9770184617282894 2.173674971539968
23.272545090180362 7.859453205509325 0.5069890232535454 0.9781421133069751 2.1692235417518098
23.28056112224449 7.851870358413999 0.5073319546506839 0.9792696130435425 2.164769195278457
23.288577154308616 7.844406470528663 0.5076705266176557 0.9804015602679523 2.1603112266252857
23.296593186372746 7.837036692308895 0.5080053017194215 0.9815366305658544 2.155853205365768
23.304609218436873 7.829779908738206 0.5083358355577391 0.9826759318336082 2.151393219988806
23.312625250501004 7.822628714999549 0.5086622746502115 0.983819071806849 2.1469320960711302
23.32064128256513 7.815571198493085 0.5089848093012896 0.9849651939696574 2.1424709632967494
23.328657314629258 7.808622278001241 0.5093031343588778 0.9861153445887737 2.138008904876611
23.336673346693388 7.80176885485416 0.5096175026724759 0.9872687084762813 2.1335473403922243
23.344689378757515 7.795001102694588 0.5099281045963738 0.9884246831306391 2.129087411712134
23.352705410821642 7.788334396769144 0.5102345922687669 0.9895842452708425 2.1246278238903
23.360721442885772 7.781747324658669 0.5105374246165291 0.9907461195647331 2.1201710756382415
23.3687374749499 7.7752549289028945 0.5108362451106876 0.9919112190534021 2.1157156881823815
23.37675350701403 7.768845218431658 0.5111313067210275 0.9930788301286979 2.1112631672796267
23.384769539078157 7.762517522278431 0.5114226111080159 0.9942489398855531 2.106813784418666
23.392785571142284 7.756279022217911 0.5117099622005936 0.9954219398847752 2.1023667273798923
23.400801603206414 7.750105627187449 0.5119939221945599 0.996596476987112 2.0979251437626814
23.40881763527054 7.744007245198595 0.5122742394219966 0.9977731196163756 2.093487960258277
23.416833667334668 7.737980945764679 0.5125509677715626 0.9989517020489062 2.089055657503582
23.4248496993988 7.732023991592464 0.5128241578069571 1.000132069934045 2.0846286920446158
23.432865731462925 7.7261336679351 0.5130938608606985 1.0013140707365187 2.0802075171469037
23.440881763527052 7.720307225113186 0.5133601301324429 1.002497549516477 2.075792585969183
23.448897795591183 7.7145420199010655 0.5136230174652272 1.0036823578191543 2.071384336535619
23.45691382765531 7.70883526161225 0.5138825791308596 1.0048683378291368 2.06698321869036
23.46492985971944 7.703184148080239 0.5141388727378783 1.0060553309170057 2.062589679269813
23.472945891783567 7.697586040350545 0.5143919531561386 1.0072431880590382 2.0582041430786173
23.480961923847694 7.692038130166309 0.5146418801026856 1.0084317495219368 2.0538270474349565
23.488977955911825 7.6865473079986355 0.5148884557483242 1.0096213592030765 2.049457447866905
23.49699398797595 7.681089764079264 0.515132300948119 1.0108107646877271 2.0450987528631197
23.50501002004008 7.675674377960538 0.5153731688258449 1.0120004156398468 2.040749735421544
23.51302605210421 7.670298262803739 0.5156111250308462 1.0131901464713642 2.036410822356587
