#           k/h    P           
    0.10000E-03    0.50958E+02
    0.10202E-03    0.51945E+02
    0.10408E-03    0.52952E+02
    0.10618E-03    0.53978E+02
    0.10833E-03    0.55024E+02
    0.11052E-03    0.56090E+02
    0.11275E-03    0.57176E+02
    0.11503E-03    0.58284E+02
    0.11735E-03    0.59413E+02
    0.11972E-03    0.60564E+02
    0.12214E-03    0.61738E+02
    0.12461E-03    0.62934E+02
    0.12712E-03    0.64153E+02
    0.12969E-03    0.65396E+02
    0.13231E-03    0.66662E+02
    0.13499E-03    0.67954E+02
    0.13771E-03    0.69270E+02
    0.14049E-03    0.70611E+02
    0.14333E-03    0.71979E+02
    0.14623E-03    0.73373E+02
    0.14918E-03    0.74794E+02
    0.15220E-03    0.76242E+02
    0.15527E-03    0.77719E+02
    0.15841E-03    0.79224E+02
    0.16161E-03    0.80758E+02
    0.16487E-03    0.82321E+02
    0.16820E-03    0.83915E+02
    0.17160E-03    0.85540E+02
    0.17507E-03    0.87196E+02
    0.17860E-03    0.88884E+02
    0.18221E-03    0.90604E+02
    0.18589E-03    0.92358E+02
    0.18965E-03    0.94146E+02
    0.19348E-03    0.95968E+02
    0.19739E-03    0.97825E+02
    0.20138E-03    0.99718E+02
    0.20544E-03    0.10165E+03
    0.20959E-03    0.10361E+03
    0.21383E-03    0.10562E+03
    0.21815E-03    0.10766E+03
    0.22255E-03    0.10974E+03
    0.22705E-03    0.11187E+03
    0.23164E-03    0.11403E+03
    0.23632E-03    0.11624E+03
    0.24109E-03    0.11848E+03
    0.24596E-03    0.12077E+03
    0.25093E-03    0.12311E+03
    0.25600E-03    0.12549E+03
    0.26117E-03    0.12791E+03
    0.26645E-03    0.13039E+03
    0.27183E-03    0.13290E+03
    0.27732E-03    0.13547E+03
    0.28292E-03    0.13809E+03
    0.28864E-03    0.14076E+03
    0.29447E-03    0.14347E+03
    0.30042E-03    0.14625E+03
    0.30649E-03    0.14907E+03
    0.31268E-03    0.15195E+03
    0.31899E-03    0.15488E+03
    0.32544E-03    0.15787E+03
    0.33201E-03    0.16091E+03
    0.33872E-03    0.16402E+03
    0.34556E-03    0.16718E+03
    0.35254E-03    0.17040E+03
    0.35966E-03    0.17369E+03
    0.36693E-03    0.17704E+03
    0.37434E-03    0.18045E+03
    0.38190E-03    0.18392E+03
    0.38962E-03    0.18746E+03
    0.39749E-03    0.19107E+03
    0.40552E-03    0.19475E+03
    0.41371E-03    0.19850E+03
    0.42207E-03    0.20232E+03
    0.43060E-03    0.20621E+03
    0.43929E-03    0.21017E+03
    0.44817E-03    0.21421E+03
    0.45722E-03    0.21833E+03
    0.46646E-03    0.22252E+03
    0.47588E-03    0.22679E+03
    0.48550E-03    0.23115E+03
    0.49530E-03    0.23558E+03
    0.50531E-03    0.24010E+03
    0.51552E-03    0.24470E+03
    0.52593E-03    0.24939E+03
    0.53656E-03    0.25416E+03
    0.54739E-03    0.25903E+03
    0.55845E-03    0.26398E+03
    0.56973E-03    0.26903E+03
    0.58124E-03    0.27417E+03
    0.59299E-03    0.27941E+03
    0.60496E-03    0.28475E+03
    0.61719E-03    0.29018E+03
    0.62965E-03    0.29571E+03
    0.64237E-03    0.30135E+03
    0.65535E-03    0.30709E+03
    0.66859E-03    0.31293E+03
    0.68210E-03    0.31888E+03
    0.69588E-03    0.32494E+03
    0.70993E-03    0.33112E+03
    0.72427E-03    0.33740E+03
    0.73891E-03    0.34380E+03
    0.75383E-03    0.35031E+03
    0.76906E-03    0.35694E+03
    0.78460E-03    0.36369E+03
    0.80045E-03    0.37057E+03
    0.81662E-03    0.37756E+03
    0.83311E-03    0.38468E+03
    0.84994E-03    0.39193E+03
    0.86711E-03    0.39931E+03
    0.88463E-03    0.40682E+03
    0.90250E-03    0.41446E+03
    0.92073E-03    0.42224E+03
    0.93933E-03    0.43015E+03
    0.95831E-03    0.43820E+03
    0.97767E-03    0.44639E+03
    0.99742E-03    0.45473E+03
    0.10176E-02    0.46321E+03
    0.10381E-02    0.47183E+03
    0.10591E-02    0.48061E+03
    0.10805E-02    0.48953E+03
    0.11023E-02    0.49861E+03
    0.11246E-02    0.50784E+03
    0.11473E-02    0.51723E+03
    0.11705E-02    0.52678E+03
    0.11941E-02    0.53649E+03
    0.12182E-02    0.54635E+03
    0.12429E-02    0.55639E+03
    0.12680E-02    0.56659E+03
    0.12936E-02    0.57696E+03
    0.13197E-02    0.58750E+03
    0.13464E-02    0.59821E+03
    0.13736E-02    0.60909E+03
    0.14013E-02    0.62015E+03
    0.14296E-02    0.63139E+03
    0.14585E-02    0.64281E+03
    0.14880E-02    0.65441E+03
    0.15180E-02    0.66619E+03
    0.15487E-02    0.67816E+03
