#           k/h    P           
    0.42098E-02    0.11760E+04
    0.42948E-02    0.11927E+04
    0.43816E-02    0.12095E+04
    0.44701E-02    0.12264E+04
    0.45604E-02    0.12434E+04
    0.46525E-02    0.12604E+04
    0.47465E-02    0.12775E+04
    0.48424E-02    0.12947E+04
    0.49402E-02    0.13119E+04
    0.50400E-02    0.13292E+04
    0.51419E-02    0.13465E+04
    0.52457E-02    0.13640E+04
    0.53517E-02    0.13814E+04
    0.54598E-02    0.13989E+04
    0.55701E-02    0.14165E+04
    0.56826E-02    0.14340E+04
    0.57974E-02    0.14515E+04
    0.59145E-02    0.14690E+04
    0.60340E-02    0.14865E+04
    0.61559E-02    0.15040E+04
    0.62803E-02    0.15214E+04
    0.64072E-02    0.15388E+04
    0.65366E-02    0.15561E+04
    0.66686E-02    0.15734E+04
    0.68033E-02    0.15905E+04
    0.69408E-02    0.16076E+04
    0.70810E-02    0.16246E+04
    0.72240E-02    0.16414E+04
    0.73700E-02    0.16582E+04
    0.75189E-02    0.16747E+04
    0.76708E-02    0.16912E+04
    0.78257E-02    0.17074E+04
    0.79838E-02    0.17234E+04
    0.81451E-02    0.17393E+04
    0.83096E-02    0.17549E+04
    0.84775E-02    0.17703E+04
    0.86488E-02    0.17855E+04
    0.88235E-02    0.18003E+04
    0.90017E-02    0.18149E+04
    0.91836E-02    0.18292E+04
    0.93691E-02    0.18432E+04
    0.95583E-02    0.18568E+04
    0.97514E-02    0.18701E+04
    0.99484E-02    0.18830E+04
    0.10149E-01    0.18955E+04
    0.10354E-01    0.19076E+04
    0.10564E-01    0.19192E+04
    0.10777E-01    0.19304E+04
    0.10995E-01    0.19411E+04
    0.11217E-01    0.19513E+04
    0.11443E-01    0.19610E+04
    0.11675E-01    0.19701E+04
    0.11910E-01    0.19787E+04
    0.12151E-01    0.19867E+04
    0.12397E-01    0.19941E+04
    0.12647E-01    0.20009E+04
    0.12902E-01    0.20070E+04
    0.13163E-01    0.20125E+04
    0.13429E-01    0.20172E+04
    0.13700E-01    0.20212E+04
    0.13977E-01    0.20243E+04
    0.14259E-01    0.20266E+04
    0.14547E-01    0.20282E+04
    0.14841E-01    0.20292E+04
    0.15141E-01    0.20296E+04
    0.15447E-01    0.20295E+04
    0.15759E-01    0.20289E+04
    0.16077E-01    0.20275E+04
    0.16402E-01    0.20252E+04
    0.16734E-01    0.20219E+04
    0.17072E-01    0.20173E+04
    0.17416E-01    0.20115E+04
    0.17768E-01    0.20045E+04
    0.18127E-01    0.19966E+04
    0.18493E-01    0.19878E+04
    0.18867E-01    0.19781E+04
    0.19248E-01    0.19676E+04
    0.19637E-01    0.19560E+04
    0.20034E-01    0.19434E+04
    0.20438E-01    0.19296E+04
    0.20851E-01    0.19145E+04
    0.21272E-01    0.18982E+04
    0.21702E-01    0.18809E+04
    0.22141E-01    0.18627E+04
    0.22588E-01    0.18436E+04
    0.23044E-01    0.18238E+04
    0.23510E-01    0.18034E+04
    0.23985E-01    0.17824E+04
    0.24469E-01    0.17607E+04
    0.24964E-01    0.17383E+04
    0.25468E-01    0.17153E+04
    0.25982E-01    0.16917E+04
    0.26507E-01    0.16675E+04
    0.27043E-01    0.16426E+04
    0.27589E-01    0.16171E+04
    0.28146E-01    0.15910E+04
    0.28715E-01    0.15643E+04
    0.29295E-01    0.15372E+04
    0.29887E-01    0.15097E+04
    0.30490E-01    0.14819E+04
    0.31106E-01    0.14538E+04
    0.31735E-01    0.14256E+04
    0.32376E-01    0.13975E+04
    0.33030E-01    0.13694E+04
    0.33697E-01    0.13415E+04
    0.34378E-01    0.13138E+04
    0.35072E-01    0.12865E+04
