#           k/h    P           
    0.10000E-03    0.43695E+03
    0.10202E-03    0.44542E+03
    0.10408E-03    0.45405E+03
    0.10618E-03    0.46284E+03
    0.10833E-03    0.47181E+03
    0.11052E-03    0.48095E+03
    0.11275E-03    0.49027E+03
    0.11503E-03    0.49976E+03
    0.11735E-03    0.50944E+03
    0.11972E-03    0.51931E+03
    0.12214E-03    0.52937E+03
    0.12461E-03    0.53962E+03
    0.12712E-03    0.55008E+03
    0.12969E-03    0.56073E+03
    0.13231E-03    0.57159E+03
    0.13499E-03    0.58266E+03
    0.13771E-03    0.59394E+03
    0.14049E-03    0.60544E+03
    0.14333E-03    0.61716E+03
    0.14623E-03    0.62911E+03
    0.14918E-03    0.64130E+03
    0.15220E-03    0.65371E+03
    0.15527E-03    0.66637E+03
    0.15841E-03    0.67927E+03
    0.16161E-03    0.69241E+03
    0.16487E-03    0.70582E+03
    0.16820E-03    0.71948E+03
    0.17160E-03    0.73340E+03
    0.17507E-03    0.74760E+03
    0.17860E-03    0.76206E+03
    0.18221E-03    0.77681E+03
    0.18589E-03    0.79184E+03
    0.18965E-03    0.80716E+03
    0.19348E-03    0.82277E+03
    0.19739E-03    0.83869E+03
    0.20138E-03    0.85491E+03
    0.20544E-03    0.87145E+03
    0.20959E-03    0.88830E+03
    0.21383E-03    0.90547E+03
    0.21815E-03    0.92298E+03
    0.22255E-03    0.94083E+03
    0.22705E-03    0.95901E+03
    0.23164E-03    0.97755E+03
    0.23632E-03    0.99644E+03
    0.24109E-03    0.10157E+04
    0.24596E-03    0.10353E+04
    0.25093E-03    0.10553E+04
    0.25600E-03    0.10757E+04
    0.26117E-03    0.10965E+04
    0.26645E-03    0.11177E+04
    0.27183E-03    0.11392E+04
    0.27732E-03    0.11612E+04
    0.28292E-03    0.11836E+04
    0.28864E-03    0.12065E+04
    0.29447E-03    0.12298E+04
    0.30042E-03    0.12535E+04
    0.30649E-03    0.12777E+04
    0.31268E-03    0.13023E+04
    0.31899E-03    0.13274E+04
    0.32544E-03    0.13530E+04
    0.33201E-03    0.13791E+04
    0.33872E-03    0.14056E+04
    0.34556E-03    0.14327E+04
    0.35254E-03    0.14603E+04
    0.35966E-03    0.14884E+04
    0.36693E-03    0.15171E+04
    0.37434E-03    0.15463E+04
    0.38190E-03    0.15760E+04
    0.38962E-03    0.16063E+04
    0.39749E-03    0.16372E+04
    0.40552E-03    0.16687E+04
    0.41371E-03    0.17007E+04
    0.42207E-03    0.17334E+04
    0.43060E-03    0.17667E+04
    0.43929E-03    0.18006E+04
    0.44817E-03    0.18351E+04
    0.45722E-03    0.18703E+04
    0.46646E-03    0.19062E+04
    0.47588E-03    0.19427E+04
    0.48550E-03    0.19799E+04
    0.49530E-03    0.20178E+04
    0.50531E-03    0.20565E+04
    0.51552E-03    0.20958E+04
    0.52593E-03    0.21359E+04
    0.53656E-03    0.21767E+04
    0.54739E-03    0.22183E+04
    0.55845E-03    0.22606E+04
    0.56973E-03    0.23038E+04
    0.58124E-03    0.23477E+04
    0.59299E-03    0.23924E+04
    0.60496E-03    0.24380E+04
    0.61719E-03    0.24844E+04
    0.62965E-03    0.25317E+04
    0.64237E-03    0.25798E+04
    0.65535E-03    0.26288E+04
    0.66859E-03    0.26787E+04
    0.68210E-03    0.27295E+04
    0.69588E-03    0.27813E+04
    0.70993E-03    0.28340E+04
    0.72427E-03    0.28876E+04
    0.73891E-03    0.29422E+04
    0.75383E-03    0.29978E+04
    0.76906E-03    0.30544E+04
    0.78460E-03    0.31120E+04
    0.80045E-03    0.31707E+04
    0.81662E-03    0.32304E+04
    0.83311E-03    0.32912E+04
    0.84994E-03    0.33530E+04
    0.86711E-03    0.34160E+04
    0.88463E-03    0.34800E+04
    0.90250E-03    0.35452E+04
    0.92073E-03    0.36116E+04
