#           k/h    P           
    0.10000E-03    0.24463E+03
    0.10202E-03    0.24937E+03
    0.10408E-03    0.25420E+03
    0.10618E-03    0.25912E+03
    0.10833E-03    0.26414E+03
    0.11052E-03    0.26926E+03
    0.11275E-03    0.27448E+03
    0.11503E-03    0.27979E+03
    0.11735E-03    0.28521E+03
    0.11972E-03    0.29074E+03
    0.12214E-03    0.29637E+03
    0.12461E-03    0.30211E+03
    0.12712E-03    0.30796E+03
    0.12969E-03    0.31393E+03
    0.13231E-03    0.32001E+03
    0.13499E-03    0.32620E+03
    0.13771E-03    0.33252E+03
    0.14049E-03    0.33896E+03
    0.14333E-03    0.34552E+03
    0.14623E-03    0.35221E+03
    0.14918E-03    0.35903E+03
    0.15220E-03    0.36599E+03
    0.15527E-03    0.37307E+03
    0.15841E-03    0.38029E+03
    0.16161E-03    0.38766E+03
    0.16487E-03    0.39516E+03
    0.16820E-03    0.40281E+03
    0.17160E-03    0.41061E+03
    0.17507E-03    0.41855E+03
    0.17860E-03    0.42665E+03
    0.18221E-03    0.43491E+03
    0.18589E-03    0.44333E+03
    0.18965E-03    0.45190E+03
    0.19348E-03    0.46065E+03
    0.19739E-03    0.46956E+03
    0.20138E-03    0.47864E+03
    0.20544E-03    0.48790E+03
    0.20959E-03    0.49734E+03
    0.21383E-03    0.50695E+03
    0.21815E-03    0.51676E+03
    0.22255E-03    0.52675E+03
    0.22705E-03    0.53693E+03
    0.23164E-03    0.54731E+03
    0.23632E-03    0.55789E+03
    0.24109E-03    0.56867E+03
    0.24596E-03    0.57966E+03
    0.25093E-03    0.59086E+03
    0.25600E-03    0.60228E+03
    0.26117E-03    0.61391E+03
    0.26645E-03    0.62577E+03
    0.27183E-03    0.63785E+03
    0.27732E-03    0.65017E+03
    0.28292E-03    0.66272E+03
    0.28864E-03    0.67551E+03
    0.29447E-03    0.68855E+03
    0.30042E-03    0.70184E+03
    0.30649E-03    0.71538E+03
    0.31268E-03    0.72918E+03
    0.31899E-03    0.74324E+03
    0.32544E-03    0.75757E+03
    0.33201E-03    0.77217E+03
    0.33872E-03    0.78705E+03
    0.34556E-03    0.80222E+03
    0.35254E-03    0.81767E+03
    0.35966E-03    0.83342E+03
    0.36693E-03    0.84947E+03
    0.37434E-03    0.86582E+03
    0.38190E-03    0.88248E+03
    0.38962E-03    0.89946E+03
    0.39749E-03    0.91675E+03
    0.40552E-03    0.93438E+03
    0.41371E-03    0.95234E+03
    0.42207E-03    0.97064E+03
    0.43060E-03    0.98928E+03
    0.43929E-03    0.10083E+04
    0.44817E-03    0.10276E+04
    0.45722E-03    0.10473E+04
    0.46646E-03    0.10674E+04
    0.47588E-03    0.10879E+04
    0.48550E-03    0.11087E+04
    0.49530E-03    0.11300E+04
    0.50531E-03    0.11516E+04
    0.51552E-03    0.11737E+04
    0.52593E-03    0.11961E+04
    0.53656E-03    0.12190E+04
    0.54739E-03    0.12423E+04
    0.55845E-03    0.12660E+04
    0.56973E-03    0.12902E+04
    0.58124E-03    0.13148E+04
    0.59299E-03    0.13398E+04
    0.60496E-03    0.13654E+04
    0.61719E-03    0.13914E+04
    0.62965E-03    0.14179E+04
    0.64237E-03    0.14448E+04
    0.65535E-03    0.14723E+04
    0.66859E-03    0.15003E+04
    0.68210E-03    0.15287E+04
    0.69588E-03    0.15577E+04
    0.70993E-03    0.15872E+04
    0.72427E-03    0.16173E+04
    0.73891E-03    0.16479E+04
    0.75383E-03    0.16791E+04
    0.76906E-03    0.17108E+04
    0.78460E-03    0.17431E+04
    0.80045E-03    0.17759E+04
    0.81662E-03    0.18094E+04
    0.83311E-03    0.18434E+04
    0.84994E-03    0.18781E+04
    0.86711E-03    0.19134E+04
    0.88463E-03    0.19492E+04
    0.90250E-03    0.19858E+04
    0.92073E-03    0.20230E+04
    0.93933E-03    0.20608E+04
    0.95831E-03    0.20993E+04
    0.97767E-03    0.21384E+04
    0.99742E-03    0.21783E+04
    0.10176E-02    0.22188E+04
    0.10381E-02    0.22600E+04
    0.10591E-02    0.23020E+04
    0.10805E-02    0.23446E+04
    0.11023E-02    0.23880E+04
    0.11246E-02    0.24322E+04
    0.11473E-02    0.24770E+04
    0.11705E-02    0.25227E+04
    0.11941E-02    0.25691E+04
    0.12182E-02    0.26163E+04
    0.12429E-02    0.26642E+04
    0.12680E-02    0.27130E+04
    0.12936E-02    0.27625E+04
    0.13197E-02    0.28129E+04
    0.13464E-02    0.28641E+04
    0.13736E-02    0.29162E+04
    0.14013E-02    0.29691E+04
    0.14296E-02    0.30228E+04
    0.14585E-02    0.30774E+04
    0.14880E-02    0.31328E+04
    0.15180E-02    0.31892E+04
    0.15487E-02    0.32464E+04
    0.15800E-02    0.33045E+04
    0.16119E-02    0.33635E+04
    0.16445E-02    0.34234E+04
    0.16777E-02    0.34843E+04
    0.17116E-02    0.35460E+04
    0.17462E-02    0.36087E+04
    0.17814E-02    0.36723E+04
    0.18174E-02    0.37369E+04
    0.18541E-02    0.38024E+04
    0.18916E-02    0.38689E+04
    0.19298E-02    0.39363E+04
    0.19688E-02    0.40047E+04
    0.20086E-02    0.40741E+04
    0.20491E-02    0.41444E+04
    0.20905E-02    0.42157E+04
    0.21328E-02    0.42880E+04
    0.21758E-02    0.43613E+04
    0.22198E-02    0.44356E+04
    0.22646E-02    0.45108E+04
    0.23104E-02    0.45871E+04
    0.23571E-02    0.46643E+04
    0.24047E-02    0.47426E+04
    0.24533E-02    0.48218E+04
    0.25028E-02    0.49020E+04
    0.25534E-02    0.49832E+04
    0.26050E-02    0.50654E+04
    0.26576E-02    0.51486E+04
    0.27113E-02    0.52327E+04
    0.27660E-02    0.53179E+04
    0.28219E-02    0.54040E+04
    0.28789E-02    0.54911E+04
    0.29371E-02    0.55791E+04
    0.29964E-02    0.56681E+04
    0.30569E-02    0.57580E+04
    0.31187E-02    0.58489E+04
    0.31817E-02    0.59406E+04
    0.32460E-02    0.60333E+04
    0.33115E-02    0.61269E+04
    0.33784E-02    0.62214E+04
    0.34467E-02    0.63168E+04
    0.35163E-02    0.64131E+04
    0.35874E-02    0.65102E+04
    0.36598E-02    0.66081E+04
    0.37338E-02    0.67067E+04
    0.38092E-02    0.68062E+04
