#           k/h    P           
    0.10000E-03    0.11155E+03
    0.10202E-03    0.11372E+03
    0.10408E-03    0.11592E+03
    0.10618E-03    0.11816E+03
    0.10833E-03    0.12045E+03
    0.11052E-03    0.12279E+03
    0.11275E-03    0.12517E+03
    0.11503E-03    0.12759E+03
    0.11735E-03    0.13006E+03
    0.11972E-03    0.13258E+03
    0.12214E-03    0.13515E+03
    0.12461E-03    0.13777E+03
    0.12712E-03    0.14044E+03
    0.12969E-03    0.14316E+03
    0.13231E-03    0.14593E+03
    0.13499E-03    0.14876E+03
    0.13771E-03    0.15164E+03
    0.14049E-03    0.15458E+03
    0.14333E-03    0.15757E+03
    0.14623E-03    0.16062E+03
    0.14918E-03    0.16373E+03
    0.15220E-03    0.16690E+03
    0.15527E-03    0.17013E+03
    0.15841E-03    0.17343E+03
    0.16161E-03    0.17678E+03
    0.16487E-03    0.18021E+03
    0.16820E-03    0.18370E+03
    0.17160E-03    0.18725E+03
    0.17507E-03    0.19088E+03
    0.17860E-03    0.19457E+03
    0.18221E-03    0.19834E+03
    0.18589E-03    0.20217E+03
    0.18965E-03    0.20609E+03
    0.19348E-03    0.21007E+03
    0.19739E-03    0.21414E+03
    0.20138E-03    0.21828E+03
    0.20544E-03    0.22251E+03
    0.20959E-03    0.22681E+03
    0.21383E-03    0.23120E+03
    0.21815E-03    0.23567E+03
    0.22255E-03    0.24023E+03
    0.22705E-03    0.24487E+03
    0.23164E-03    0.24961E+03
    0.23632E-03    0.25443E+03
    0.24109E-03    0.25935E+03
    0.24596E-03    0.26436E+03
    0.25093E-03    0.26947E+03
    0.25600E-03    0.27468E+03
    0.26117E-03    0.27999E+03
    0.26645E-03    0.28540E+03
    0.27183E-03    0.29091E+03
    0.27732E-03    0.29653E+03
    0.28292E-03    0.30225E+03
    0.28864E-03    0.30809E+03
    0.29447E-03    0.31404E+03
    0.30042E-03    0.32010E+03
    0.30649E-03    0.32628E+03
    0.31268E-03    0.33257E+03
    0.31899E-03    0.33899E+03
    0.32544E-03    0.34553E+03
    0.33201E-03    0.35219E+03
    0.33872E-03    0.35898E+03
    0.34556E-03    0.36590E+03
    0.35254E-03    0.37295E+03
    0.35966E-03    0.38014E+03
    0.36693E-03    0.38746E+03
    0.37434E-03    0.39492E+03
    0.38190E-03    0.40253E+03
    0.38962E-03    0.41027E+03
    0.39749E-03    0.41817E+03
    0.40552E-03    0.42621E+03
    0.41371E-03    0.43441E+03
    0.42207E-03    0.44276E+03
    0.43060E-03    0.45127E+03
    0.43929E-03    0.45994E+03
    0.44817E-03    0.46877E+03
    0.45722E-03    0.47777E+03
    0.46646E-03    0.48694E+03
