# SKA_b2_LSST HIRAX512_z1_0_LSST ell HIRAX_z1_0_LSST HIRAX512_z1_8_LSST HIRAX_z1_4_LSST SKA_b1_LSST HIRAX512_z1_4_LSST HIRAX_z1_8_LSST
2.0544438087211314 7.372272581027901e-100 10 7.372272581027901e-100 1.2233922685419096e-100 3.141715511223469e-100 2.2014393875031333 3.141715511223469e-100 1.2233922685419096e-100
2.126830382785322 7.940279891172137e-100 11 7.940279891172137e-100 1.355284213571169e-100 3.425186980371696e-100 2.301158649198885 3.425186980371696e-100 1.355284213571169e-100
2.192983675308442 8.480750183717494e-100 12 8.480750183717494e-100 1.485162376371379e-100 3.699754238926738e-100 2.395639431595878 3.699754238926738e-100 1.485162376371379e-100
2.2535359140044173 8.995804379272431e-100 13 8.995804379272431e-100 1.6128086315889188e-100 3.964676018089519e-100 2.4854718262132973 3.964676018089519e-100 1.6128086315889188e-100
2.309019548381627 9.487115786653954e-100 14 9.487115786653954e-100 1.738112727826235e-100 4.2199543351953823e-100 2.571139037687671 4.2199543351953823e-100 1.738112727826235e-100
2.359890201865063 9.953834252570547e-100 15 9.953834252570547e-100 1.8608632162143962e-100 4.466928297237399e-100 2.653029863507698 4.466928297237399e-100 1.8608632162143962e-100
2.4065468820420626 1.0396939291796688e-99 16 1.0396939291796688e-99 1.9805681661028417e-100 4.706404449007569e-100 2.7314748256359183 4.706404449007569e-100 1.9805681661028417e-100
2.449338535306569 1.0817415012004627e-99 17 1.0817415012004627e-99 2.0974887343530218e-100 4.938156000515797e-100 2.80674869441402 4.938156000515797e-100 2.0974887343530218e-100
2.488585657560084 1.1215982199026597e-99 18 1.1215982199026597e-99 2.212080084813296e-100 5.161875718839186e-100 2.8791018822897336 5.161875718839186e-100 2.212080084813296e-100
2.524581374644226 1.1593316549318572e-99 19 1.1593316549318572e-99 2.324233911157396e-100 5.377751883601105e-100 2.9487310464203564 5.377751883601105e-100 2.324233911157396e-100
2.5575796762513647 1.1950300832084095e-99 20 1.1950300832084095e-99 2.4336688125127604e-100 5.586097398615578e-100 3.0157999069172527 5.586097398615578e-100 2.4336688125127604e-100
2.587797291528192 1.2287448203618483e-99 21 1.2287448203618483e-99 2.5403298700647185e-100 5.787075464135428e-100 3.0804626076546198 5.787075464135428e-100 2.5403298700647185e-100
2.615429540835354 1.2605380221272402e-99 22 1.2605380221272402e-99 2.6443005438493673e-100 5.980806574468431e-100 3.1428542975235496 5.980806574468431e-100 2.6443005438493673e-100
2.6407084862813526 1.2904769484832987e-99 23 1.2904769484832987e-99 2.745599025281503e-100 6.167463701785809e-100 3.203087806673973 6.167463701785809e-100 2.745599025281503e-100
2.663848520190691 1.3186102203670536e-99 24 1.3186102203670536e-99 2.8442089824794605e-100 6.3471869564872e-100 3.2612591907299646 6.3471869564872e-100 2.8442089824794605e-100
2.685030087951792 1.344998409245734e-99 25 1.344998409245734e-99 2.9401750992291586e-100 6.520154458489855e-100 3.3174717876730773 6.520154458489855e-100 2.9401750992291586e-100
2.7044247332000344 1.3696898664277716e-99 26 1.3696898664277716e-99 3.0335318614895396e-100 6.686534109432074e-100 3.3718214108244187 6.686534109432074e-100 3.0335318614895396e-100
2.72222266555988 1.3927180757517938e-99 27 1.3927180757517938e-99 3.1242954739616185e-100 6.846501337978933e-100 3.4244005379442615 6.846501337978933e-100 3.1242954739616185e-100
2.7386176683950563 1.414144387234652e-99 28 1.414144387234652e-99 3.212511771099705e-100 7.000167783646998e-100 3.475291703790807 7.000167783646998e-100 3.212511771099705e-100
2.753768170906043 1.4340435317296004e-99 29 1.4340435317296004e-99 3.2981930464172274e-100 7.147650747856667e-100 3.52456466528758 7.147650747856667e-100 3.2981930464172274e-100
2.7678149419125755 1.4525356848222516e-99 30 1.4525356848222516e-99 3.381382895372762e-100 7.289088758669839e-100 3.57228520690487 7.289088758669839e-100 3.381382895372762e-100
2.780883915645485 1.469692066441348e-99 31 1.469692066441348e-99 3.462092763716645e-100 7.42458811714204e-100 3.618509226689853 7.42458811714204e-100 3.462092763716645e-100
2.793094149490436 1.4855519320424235e-99 32 1.4855519320424235e-99 3.54037383317364e-100 7.554269716880239e-100 3.6632964895998947 7.554269716880239e-100 3.54037383317364e-100
2.804547037718548 1.500115058806175e-99 33 1.500115058806175e-99 3.6162587445271864e-100 7.67832999626842e-100 3.7067039554982584 7.67832999626842e-100 3.6162587445271864e-100
2.815361443605952 1.5133820658272563e-99 34 1.5133820658272563e-99 3.6897734985037827e-100 7.796882103417993e-100 3.7487800549752888 7.796882103417993e-100 3.6897734985037827e-100
2.8256081626897154 1.5253914199491115e-99 35 1.5253914199491115e-99 3.7609179436709237e-100 7.909966340838816e-100 3.78957214123563 7.909966340838816e-100 3.7609179436709237e-100
2.835400667968738 1.5362106411524528e-99 36 1.5362106411524528e-99 3.829768734340009e-100 8.017663524484483e-100 3.829136391838259 8.017663524484483e-100 3.829768734340009e-100
2.8448112638103003 1.545903479847313e-99 37 1.545903479847313e-99 3.8963012208178617e-100 8.120032875744776e-100 3.867516107038752 8.120032875744776e-100 3.8963012208178617e-100
2.8539200581346793 1.5545055170187082e-99 38 1.5545055170187082e-99 3.960583823531246e-100 8.217161367375361e-100 3.9047582147013866 8.217161367375361e-100 3.960583823531246e-100
2.8628092945116688 1.5620220237258666e-99 39 1.5620220237258666e-99 4.022646274586593e-100 8.309322239303045e-100 3.940909357539103 8.309322239303045e-100 4.022646274586593e-100
2.8715364864053083 1.568446046717269e-99 40 1.568446046717269e-99 4.0825453613444054e-100 8.396870909254282e-100 3.9760157821666766 8.396870909254282e-100 4.0825453613444054e-100
2.880154280775419 1.5737597202629003e-99 41 1.5737597202629003e-99 4.1403017446242507e-100 8.480091025615206e-100 4.010113735864015 8.480091025615206e-100 4.1403017446242507e-100
2.8887140430108573 1.5779846906272412e-99 42 1.5779846906272412e-99 4.195957516050344e-100 8.559264047270461e-100 4.043250248395705 8.559264047270461e-100 4.195957516050344e-100
2.897262357511922 1.5811701146345056e-99 43 1.5811701146345056e-99 4.2494969193930336e-100 8.634488408445356e-100 4.075462724444754 8.634488408445356e-100 4.2494969193930336e-100
2.90582517789426 1.5833896258473694e-99 44 1.5833896258473694e-99 4.300913062636098e-100 8.705804962521782e-100 4.106789872082736 8.705804962521782e-100 4.300913062636098e-100
