#           k/h    P           
    0.10000E-03    0.76976E+02
    0.10202E-03    0.78468E+02
    0.10408E-03    0.79988E+02
    0.10618E-03    0.81538E+02
    0.10833E-03    0.83118E+02
    0.11052E-03    0.84728E+02
    0.11275E-03    0.86370E+02
    0.11503E-03    0.88043E+02
    0.11735E-03    0.89748E+02
    0.11972E-03    0.91487E+02
    0.12214E-03    0.93259E+02
    0.12461E-03    0.95066E+02
    0.12712E-03    0.96907E+02
    0.12969E-03    0.98785E+02
    0.13231E-03    0.10070E+03
    0.13499E-03    0.10265E+03
    0.13771E-03    0.10464E+03
    0.14049E-03    0.10666E+03
    0.14333E-03    0.10873E+03
    0.14623E-03    0.11083E+03
    0.14918E-03    0.11298E+03
    0.15220E-03    0.11517E+03
    0.15527E-03    0.11740E+03
    0.15841E-03    0.11967E+03
    0.16161E-03    0.12199E+03
    0.16487E-03    0.12435E+03
    0.16820E-03    0.12676E+03
    0.17160E-03    0.12921E+03
    0.17507E-03    0.13171E+03
    0.17860E-03    0.13426E+03
    0.18221E-03    0.13686E+03
    0.18589E-03    0.13951E+03
    0.18965E-03    0.14221E+03
    0.19348E-03    0.14496E+03
    0.19739E-03    0.14777E+03
    0.20138E-03    0.15063E+03
    0.20544E-03    0.15354E+03
    0.20959E-03    0.15651E+03
    0.21383E-03    0.15954E+03
    0.21815E-03    0.16263E+03
    0.22255E-03    0.16577E+03
    0.22705E-03    0.16898E+03
    0.23164E-03    0.17224E+03
    0.23632E-03    0.17557E+03
    0.24109E-03    0.17897E+03
    0.24596E-03    0.18243E+03
    0.25093E-03    0.18595E+03
    0.25600E-03    0.18955E+03
    0.26117E-03    0.19321E+03
    0.26645E-03    0.19694E+03
    0.27183E-03    0.20075E+03
    0.27732E-03    0.20463E+03
    0.28292E-03    0.20858E+03
    0.28864E-03    0.21261E+03
    0.29447E-03    0.21671E+03
    0.30042E-03    0.22090E+03
    0.30649E-03    0.22516E+03
    0.31268E-03    0.22951E+03
    0.31899E-03    0.23393E+03
    0.32544E-03    0.23845E+03
    0.33201E-03    0.24305E+03
    0.33872E-03    0.24773E+03
    0.34556E-03    0.25251E+03
