#           k/h    P           
    0.10000E-03    0.62005E+02
    0.10202E-03    0.63207E+02
    0.10408E-03    0.64432E+02
    0.10618E-03    0.65680E+02
    0.10833E-03    0.66953E+02
    0.11052E-03    0.68250E+02
    0.11275E-03    0.69572E+02
    0.11503E-03    0.70920E+02
    0.11735E-03    0.72294E+02
    0.11972E-03    0.73694E+02
    0.12214E-03    0.75122E+02
    0.12461E-03    0.76577E+02
    0.12712E-03    0.78061E+02
    0.12969E-03    0.79573E+02
    0.13231E-03    0.81114E+02
    0.13499E-03    0.82685E+02
    0.13771E-03    0.84287E+02
    0.14049E-03    0.85919E+02
    0.14333E-03    0.87583E+02
    0.14623E-03    0.89279E+02
    0.14918E-03    0.91008E+02
    0.15220E-03    0.92771E+02
    0.15527E-03    0.94567E+02
    0.15841E-03    0.96398E+02
    0.16161E-03    0.98265E+02
    0.16487E-03    0.10017E+03
    0.16820E-03    0.10211E+03
    0.17160E-03    0.10408E+03
    0.17507E-03    0.10610E+03
    0.17860E-03    0.10815E+03
    0.18221E-03    0.11025E+03
    0.18589E-03    0.11238E+03
    0.18965E-03    0.11455E+03
    0.19348E-03    0.11677E+03
    0.19739E-03    0.11903E+03
    0.20138E-03    0.12133E+03
    0.20544E-03    0.12368E+03
    0.20959E-03    0.12607E+03
    0.21383E-03    0.12851E+03
    0.21815E-03    0.13100E+03
    0.22255E-03    0.13353E+03
    0.22705E-03    0.13612E+03
    0.23164E-03    0.13875E+03
    0.23632E-03    0.14143E+03
    0.24109E-03    0.14417E+03
    0.24596E-03    0.14695E+03
    0.25093E-03    0.14979E+03
    0.25600E-03    0.15269E+03
    0.26117E-03    0.15564E+03
    0.26645E-03    0.15865E+03
    0.27183E-03    0.16171E+03
    0.27732E-03    0.16484E+03
    0.28292E-03    0.16802E+03
    0.28864E-03    0.17127E+03
    0.29447E-03    0.17457E+03
    0.30042E-03    0.17794E+03
    0.30649E-03    0.18138E+03
    0.31268E-03    0.18488E+03
    0.31899E-03    0.18845E+03
    0.32544E-03    0.19208E+03
    0.33201E-03    0.19579E+03
    0.33872E-03    0.19956E+03
    0.34556E-03    0.20341E+03
    0.35254E-03    0.20733E+03
    0.35966E-03    0.21133E+03
    0.36693E-03    0.21540E+03
    0.37434E-03    0.21955E+03
    0.38190E-03    0.22378E+03
    0.38962E-03    0.22809E+03
    0.39749E-03    0.23248E+03
    0.40552E-03    0.23695E+03
    0.41371E-03    0.24151E+03
    0.42207E-03    0.24616E+03
    0.43060E-03    0.25089E+03
    0.43929E-03    0.25571E+03
    0.44817E-03    0.26063E+03
    0.45722E-03    0.26563E+03
    0.46646E-03    0.27074E+03
    0.47588E-03    0.27593E+03
    0.48550E-03    0.28123E+03
    0.49530E-03    0.28662E+03
    0.50531E-03    0.29212E+03
    0.51552E-03    0.29771E+03
    0.52593E-03    0.30342E+03
    0.53656E-03    0.30923E+03
    0.54739E-03    0.31514E+03
    0.55845E-03    0.32117E+03
    0.56973E-03    0.32731E+03
    0.58124E-03    0.33357E+03
    0.59299E-03    0.33994E+03
    0.60496E-03    0.34642E+03
    0.61719E-03    0.35303E+03
    0.62965E-03    0.35976E+03
    0.64237E-03    0.36662E+03
    0.65535E-03    0.37360E+03
    0.66859E-03    0.38070E+03
    0.68210E-03    0.38794E+03
    0.69588E-03    0.39531E+03
    0.70993E-03    0.40282E+03
    0.72427E-03    0.41046E+03
    0.73891E-03    0.41824E+03
    0.75383E-03    0.42616E+03
    0.76906E-03    0.43423E+03
    0.78460E-03    0.44244E+03
    0.80045E-03    0.45079E+03
    0.81662E-03    0.45930E+03
    0.83311E-03    0.46796E+03
    0.84994E-03    0.47678E+03
    0.86711E-03    0.48575E+03
    0.88463E-03    0.49488E+03
    0.90250E-03    0.50417E+03
    0.92073E-03    0.51362E+03
    0.93933E-03    0.52325E+03
    0.95831E-03    0.53304E+03
    0.97767E-03    0.54300E+03
    0.99742E-03    0.55313E+03
    0.10176E-02    0.56344E+03
    0.10381E-02    0.57393E+03
    0.10591E-02    0.58460E+03
    0.10805E-02    0.59545E+03
    0.11023E-02    0.60649E+03
    0.11246E-02    0.61771E+03
    0.11473E-02    0.62913E+03
    0.11705E-02    0.64074E+03
    0.11941E-02    0.65254E+03
    0.12182E-02    0.66454E+03
    0.12429E-02    0.67674E+03
    0.12680E-02    0.68914E+03
    0.12936E-02    0.70175E+03
    0.13197E-02    0.71456E+03
    0.13464E-02    0.72759E+03
    0.13736E-02    0.74082E+03
    0.14013E-02    0.75427E+03
    0.14296E-02    0.76793E+03
    0.14585E-02    0.78182E+03
    0.14880E-02    0.79592E+03
    0.15180E-02    0.81025E+03
    0.15487E-02    0.82480E+03
    0.15800E-02    0.83957E+03
    0.16119E-02    0.85458E+03
    0.16445E-02    0.86982E+03
    0.16777E-02    0.88529E+03
    0.17116E-02    0.90100E+03
    0.17462E-02    0.91694E+03
    0.17814E-02    0.93312E+03
    0.18174E-02    0.94954E+03
    0.18541E-02    0.96620E+03
    0.18916E-02    0.98310E+03
    0.19298E-02    0.10003E+04
    0.19688E-02    0.10176E+04
    0.20086E-02    0.10353E+04
    0.20491E-02    0.10532E+04
    0.20905E-02    0.10713E+04
    0.21328E-02    0.10897E+04
    0.21758E-02    0.11083E+04
    0.22198E-02    0.11272E+04
    0.22646E-02    0.11464E+04
    0.23104E-02    0.11658E+04
    0.23571E-02    0.11854E+04
    0.24047E-02    0.12053E+04
    0.24533E-02    0.12254E+04
    0.25028E-02    0.12459E+04
    0.25534E-02    0.12665E+04
    0.26050E-02    0.12874E+04
    0.26576E-02    0.13086E+04
    0.27113E-02    0.13300E+04
    0.27660E-02    0.13516E+04
    0.28219E-02    0.13735E+04
    0.28789E-02    0.13957E+04
    0.29371E-02    0.14181E+04
    0.29964E-02    0.14407E+04
    0.30569E-02    0.14636E+04
    0.31187E-02    0.14867E+04
    0.31817E-02    0.15100E+04
    0.32460E-02    0.15336E+04
    0.33115E-02    0.15574E+04
    0.33784E-02    0.15815E+04
    0.34467E-02    0.16057E+04
    0.35163E-02    0.16302E+04
    0.35874E-02    0.16549E+04
    0.36598E-02    0.16798E+04
    0.37338E-02    0.17049E+04
    0.38092E-02    0.17302E+04
    0.38861E-02    0.17557E+04
    0.39646E-02    0.17814E+04
    0.40447E-02    0.18073E+04
    0.41264E-02    0.18333E+04
    0.42098E-02    0.18596E+04
    0.42948E-02    0.18860E+04
    0.43816E-02    0.19126E+04
    0.44701E-02    0.19393E+04
    0.45604E-02    0.19661E+04
    0.46525E-02    0.19930E+04
    0.47465E-02    0.20200E+04
    0.48424E-02    0.20470E+04
    0.49402E-02    0.20742E+04
    0.50400E-02    0.21014E+04
    0.51419E-02    0.21288E+04
    0.52457E-02    0.21563E+04
    0.53517E-02    0.21839E+04
    0.54598E-02    0.22116E+04
    0.55701E-02    0.22393E+04
    0.56826E-02    0.22670E+04
    0.57974E-02    0.22947E+04
    0.59145E-02    0.23223E+04
    0.60340E-02    0.23499E+04
    0.61559E-02    0.23775E+04
    0.62803E-02    0.24050E+04
    0.64072E-02    0.24325E+04
    0.65366E-02    0.24598E+04
    0.66686E-02    0.24871E+04
    0.68033E-02    0.25142E+04
    0.69408E-02    0.25412E+04
    0.70810E-02    0.25680E+04
    0.72240E-02    0.25946E+04
    0.73700E-02    0.26210E+04
    0.75189E-02    0.26471E+04
    0.76708E-02    0.26731E+04
    0.78257E-02    0.26987E+04
    0.79838E-02    0.27240E+04
    0.81451E-02    0.27491E+04
    0.83096E-02    0.27737E+04
    0.84775E-02    0.27980E+04
    0.86488E-02    0.28219E+04
    0.88235E-02    0.28454E+04
    0.90017E-02    0.28684E+04
    0.91836E-02    0.28910E+04
    0.93691E-02    0.29130E+04
    0.95583E-02    0.29345E+04
    0.97514E-02    0.29554E+04
    0.99484E-02    0.29757E+04
    0.10149E-01    0.29955E+04
    0.10354E-01    0.30145E+04
    0.10564E-01    0.30329E+04
    0.10777E-01    0.30505E+04
    0.10995E-01    0.30674E+04
    0.11217E-01    0.30835E+04
    0.11443E-01    0.30987E+04
