#           k/h    P           
    0.42098E-02    0.29322E+04
    0.42948E-02    0.29738E+04
    0.43816E-02    0.30157E+04
    0.44701E-02    0.30578E+04
    0.45604E-02    0.31001E+04
    0.46525E-02    0.31424E+04
    0.47465E-02    0.31848E+04
    0.48424E-02    0.32273E+04
    0.49402E-02    0.32699E+04
    0.50400E-02    0.33127E+04
    0.51419E-02    0.33557E+04
    0.52457E-02    0.33990E+04
    0.53517E-02    0.34424E+04
    0.54598E-02    0.34860E+04
    0.55701E-02    0.35297E+04
    0.56826E-02    0.35733E+04
    0.57974E-02    0.36169E+04
    0.59145E-02    0.36605E+04
    0.60340E-02    0.37040E+04
    0.61559E-02    0.37474E+04
    0.62803E-02    0.37907E+04
    0.64072E-02    0.38339E+04
    0.65366E-02    0.38770E+04
    0.66686E-02    0.39199E+04
    0.68033E-02    0.39626E+04
    0.69408E-02    0.40050E+04
    0.70810E-02    0.40472E+04
    0.72240E-02    0.40891E+04
    0.73700E-02    0.41307E+04
    0.75189E-02    0.41719E+04
    0.76708E-02    0.42126E+04
    0.78257E-02    0.42530E+04
    0.79838E-02    0.42929E+04
    0.81451E-02    0.43322E+04
    0.83096E-02    0.43710E+04
    0.84775E-02    0.44093E+04
    0.86488E-02    0.44469E+04
    0.88235E-02    0.44838E+04
    0.90017E-02    0.45200E+04
    0.91836E-02    0.45554E+04
    0.93691E-02    0.45901E+04
    0.95583E-02    0.46239E+04
    0.97514E-02    0.46568E+04
    0.99484E-02    0.46887E+04
    0.10149E-01    0.47197E+04
    0.10354E-01    0.47496E+04
    0.10564E-01    0.47785E+04
    0.10777E-01    0.48062E+04
    0.10995E-01    0.48327E+04
    0.11217E-01    0.48579E+04
    0.11443E-01    0.48819E+04
    0.11675E-01    0.49044E+04
    0.11910E-01    0.49256E+04
    0.12151E-01    0.49453E+04
    0.12397E-01    0.49636E+04
    0.12647E-01    0.49803E+04
    0.12902E-01    0.49955E+04
    0.13163E-01    0.50089E+04
    0.13429E-01    0.50205E+04
    0.13700E-01    0.50302E+04
    0.13977E-01    0.50377E+04
    0.14259E-01    0.50433E+04
    0.14547E-01    0.50471E+04
    0.14841E-01    0.50493E+04
    0.15141E-01    0.50501E+04
    0.15447E-01    0.50498E+04
    0.15759E-01    0.50480E+04
    0.16077E-01    0.50443E+04
    0.16402E-01    0.50384E+04
    0.16734E-01    0.50298E+04
    0.17072E-01    0.50182E+04
    0.17416E-01    0.50035E+04
    0.17768E-01    0.49861E+04
    0.18127E-01    0.49661E+04
    0.18493E-01    0.49439E+04
    0.18867E-01    0.49197E+04
    0.19248E-01    0.48932E+04
    0.19637E-01    0.48643E+04
    0.20034E-01    0.48327E+04
    0.20438E-01    0.47981E+04
    0.20851E-01    0.47604E+04
    0.21272E-01    0.47197E+04
    0.21702E-01    0.46765E+04
    0.22141E-01    0.46309E+04
    0.22588E-01    0.45833E+04
    0.23044E-01    0.45340E+04
    0.23510E-01    0.44831E+04
    0.23985E-01    0.44305E+04
    0.24469E-01    0.43763E+04
    0.24964E-01    0.43206E+04
    0.25468E-01    0.42633E+04
    0.25982E-01    0.42045E+04
    0.26507E-01    0.41441E+04
    0.27043E-01    0.40821E+04
    0.27589E-01    0.40186E+04
    0.28146E-01    0.39536E+04
    0.28715E-01    0.38872E+04
    0.29295E-01    0.38197E+04
    0.29887E-01    0.37512E+04
    0.30490E-01    0.36820E+04
    0.31106E-01    0.36122E+04
    0.31735E-01    0.35421E+04
    0.32376E-01    0.34720E+04
    0.33030E-01    0.34021E+04
    0.33697E-01    0.33327E+04
    0.34378E-01    0.32640E+04
    0.35072E-01    0.31962E+04
