#           k/h    P           
    0.10000E-03    0.68898E+02
    0.10202E-03    0.70233E+02
    0.10408E-03    0.71593E+02
    0.10618E-03    0.72981E+02
    0.10833E-03    0.74395E+02
    0.11052E-03    0.75836E+02
    0.11275E-03    0.77305E+02
    0.11503E-03    0.78803E+02
    0.11735E-03    0.80330E+02
    0.11972E-03    0.81886E+02
    0.12214E-03    0.83472E+02
    0.12461E-03    0.85089E+02
    0.12712E-03    0.86737E+02
    0.12969E-03    0.88418E+02
    0.13231E-03    0.90130E+02
    0.13499E-03    0.91876E+02
    0.13771E-03    0.93655E+02
    0.14049E-03    0.95469E+02
    0.14333E-03    0.97318E+02
    0.14623E-03    0.99203E+02
    0.14918E-03    0.10112E+03
    0.15220E-03    0.10308E+03
    0.15527E-03    0.10508E+03
    0.15841E-03    0.10711E+03
    0.16161E-03    0.10919E+03
    0.16487E-03    0.11130E+03
    0.16820E-03    0.11346E+03
    0.17160E-03    0.11565E+03
    0.17507E-03    0.11789E+03
    0.17860E-03    0.12017E+03
    0.18221E-03    0.12250E+03
    0.18589E-03    0.12487E+03
    0.18965E-03    0.12729E+03
    0.19348E-03    0.12975E+03
    0.19739E-03    0.13226E+03
    0.20138E-03    0.13482E+03
    0.20544E-03    0.13743E+03
    0.20959E-03    0.14009E+03
    0.21383E-03    0.14280E+03
    0.21815E-03    0.14556E+03
    0.22255E-03    0.14837E+03
    0.22705E-03    0.15124E+03
    0.23164E-03    0.15417E+03
    0.23632E-03    0.15715E+03
    0.24109E-03    0.16019E+03
    0.24596E-03    0.16329E+03
    0.25093E-03    0.16644E+03
    0.25600E-03    0.16966E+03
    0.26117E-03    0.17294E+03
    0.26645E-03    0.17628E+03
    0.27183E-03    0.17968E+03
    0.27732E-03    0.18316E+03
    0.28292E-03    0.18669E+03
    0.28864E-03    0.19030E+03
    0.29447E-03    0.19397E+03
    0.30042E-03    0.19772E+03
    0.30649E-03    0.20154E+03
    0.31268E-03    0.20542E+03
    0.31899E-03    0.20939E+03
    0.32544E-03    0.21343E+03
    0.33201E-03    0.21755E+03
    0.33872E-03    0.22174E+03
    0.34556E-03    0.22602E+03
    0.35254E-03    0.23037E+03
    0.35966E-03    0.23481E+03
    0.36693E-03    0.23934E+03
    0.37434E-03    0.24395E+03
    0.38190E-03    0.24865E+03
    0.38962E-03    0.25343E+03
    0.39749E-03    0.25831E+03
    0.40552E-03    0.26328E+03
    0.41371E-03    0.26835E+03
    0.42207E-03    0.27351E+03
    0.43060E-03    0.27877E+03
    0.43929E-03    0.28413E+03
    0.44817E-03    0.28958E+03
    0.45722E-03    0.29515E+03
    0.46646E-03    0.30081E+03
    0.47588E-03    0.30659E+03
    0.48550E-03    0.31247E+03
    0.49530E-03    0.31846E+03
    0.50531E-03    0.32457E+03
    0.51552E-03    0.33079E+03
    0.52593E-03    0.33712E+03
    0.53656E-03    0.34358E+03
    0.54739E-03    0.35015E+03
    0.55845E-03    0.35685E+03
    0.56973E-03    0.36367E+03
    0.58124E-03    0.37062E+03
    0.59299E-03    0.37769E+03
    0.60496E-03    0.38490E+03
    0.61719E-03    0.39224E+03
    0.62965E-03    0.39972E+03
    0.64237E-03    0.40733E+03
    0.65535E-03    0.41509E+03
    0.66859E-03    0.42298E+03
    0.68210E-03    0.43102E+03
    0.69588E-03    0.43921E+03
    0.70993E-03    0.44755E+03
    0.72427E-03    0.45604E+03
    0.73891E-03    0.46468E+03
    0.75383E-03    0.47348E+03
    0.76906E-03    0.48244E+03
    0.78460E-03    0.49156E+03
    0.80045E-03    0.50084E+03
    0.81662E-03    0.51029E+03
    0.83311E-03    0.51991E+03
    0.84994E-03    0.52970E+03
    0.86711E-03    0.53966E+03
    0.88463E-03    0.54981E+03
    0.90250E-03    0.56013E+03
    0.92073E-03    0.57063E+03
    0.93933E-03    0.58132E+03
    0.95831E-03    0.59219E+03
    0.97767E-03    0.60326E+03
    0.99742E-03    0.61451E+03
    0.10176E-02    0.62597E+03
    0.10381E-02    0.63762E+03
    0.10591E-02    0.64947E+03
    0.10805E-02    0.66152E+03
    0.11023E-02    0.67378E+03
    0.11246E-02    0.68625E+03
    0.11473E-02    0.69893E+03
    0.11705E-02    0.71182E+03
    0.11941E-02    0.72493E+03
    0.12182E-02    0.73826E+03
    0.12429E-02    0.75181E+03
    0.12680E-02    0.76558E+03
    0.12936E-02    0.77959E+03
    0.13197E-02    0.79382E+03
    0.13464E-02    0.80829E+03
    0.13736E-02    0.82299E+03
    0.14013E-02    0.83792E+03
    0.14296E-02    0.85310E+03
    0.14585E-02    0.86852E+03
    0.14880E-02    0.88419E+03
    0.15180E-02    0.90010E+03
    0.15487E-02    0.91626E+03
    0.15800E-02    0.93268E+03
    0.16119E-02    0.94935E+03
    0.16445E-02    0.96627E+03
    0.16777E-02    0.98346E+03
    0.17116E-02    0.10009E+04
    0.17462E-02    0.10186E+04
    0.17814E-02    0.10366E+04
    0.18174E-02    0.10548E+04
    0.18541E-02    0.10733E+04
    0.18916E-02    0.10921E+04
    0.19298E-02    0.11112E+04
    0.19688E-02    0.11305E+04
    0.20086E-02    0.11501E+04
    0.20491E-02    0.11699E+04
    0.20905E-02    0.11901E+04
    0.21328E-02    0.12105E+04
    0.21758E-02    0.12312E+04
    0.22198E-02    0.12522E+04
    0.22646E-02    0.12735E+04
    0.23104E-02    0.12950E+04
    0.23571E-02    0.13168E+04
    0.24047E-02    0.13389E+04
    0.24533E-02    0.13613E+04
    0.25028E-02    0.13840E+04
    0.25534E-02    0.14069E+04
    0.26050E-02    0.14301E+04
    0.26576E-02    0.14536E+04
    0.27113E-02    0.14774E+04
    0.27660E-02    0.15014E+04
    0.28219E-02    0.15258E+04
    0.28789E-02    0.15504E+04
    0.29371E-02    0.15752E+04
    0.29964E-02    0.16004E+04
    0.30569E-02    0.16258E+04
    0.31187E-02    0.16515E+04
    0.31817E-02    0.16774E+04
    0.32460E-02    0.17036E+04
    0.33115E-02    0.17300E+04
    0.33784E-02    0.17567E+04
    0.34467E-02    0.17837E+04
    0.35163E-02    0.18109E+04
    0.35874E-02    0.18383E+04
    0.36598E-02    0.18660E+04
    0.37338E-02    0.18939E+04
    0.38092E-02    0.19220E+04
    0.38861E-02    0.19503E+04
    0.39646E-02    0.19788E+04
    0.40447E-02    0.20076E+04
    0.41264E-02    0.20365E+04
    0.42098E-02    0.20657E+04
    0.42948E-02    0.20950E+04
    0.43816E-02    0.21245E+04
    0.44701E-02    0.21542E+04
    0.45604E-02    0.21840E+04
    0.46525E-02    0.22138E+04
    0.47465E-02    0.22438E+04
    0.48424E-02    0.22738E+04
    0.49402E-02    0.23039E+04
    0.50400E-02    0.23342E+04
    0.51419E-02    0.23646E+04
    0.52457E-02    0.23951E+04
    0.53517E-02    0.24258E+04
    0.54598E-02    0.24565E+04
    0.55701E-02    0.24873E+04
    0.56826E-02    0.25180E+04
    0.57974E-02    0.25488E+04
    0.59145E-02    0.25795E+04
    0.60340E-02    0.26102E+04
    0.61559E-02    0.26408E+04
    0.62803E-02    0.26713E+04
    0.64072E-02    0.27018E+04
    0.65366E-02    0.27322E+04
    0.66686E-02    0.27624E+04
    0.68033E-02    0.27926E+04
    0.69408E-02    0.28225E+04
    0.70810E-02    0.28523E+04
    0.72240E-02    0.28818E+04
    0.73700E-02    0.29111E+04
    0.75189E-02    0.29402E+04
    0.76708E-02    0.29690E+04
    0.78257E-02    0.29974E+04
    0.79838E-02    0.30256E+04
    0.81451E-02    0.30533E+04
    0.83096E-02    0.30807E+04
    0.84775E-02    0.31077E+04
    0.86488E-02    0.31342E+04
    0.88235E-02    0.31603E+04
    0.90017E-02    0.31858E+04
    0.91836E-02    0.32109E+04
    0.93691E-02    0.32353E+04
    0.95583E-02    0.32592E+04
    0.97514E-02    0.32824E+04
    0.99484E-02    0.33050E+04
    0.10149E-01    0.33269E+04
    0.10354E-01    0.33480E+04
    0.10564E-01    0.33684E+04
    0.10777E-01    0.33880E+04
    0.10995E-01    0.34067E+04
    0.11217E-01    0.34245E+04
    0.11443E-01    0.34415E+04
    0.11675E-01    0.34574E+04
    0.11910E-01    0.34724E+04
    0.12151E-01    0.34864E+04
    0.12397E-01    0.34993E+04
    0.12647E-01    0.35111E+04
    0.12902E-01    0.35219E+04
    0.13163E-01    0.35314E+04
    0.13429E-01    0.35397E+04
    0.13700E-01    0.35465E+04
    0.13977E-01    0.35519E+04
    0.14259E-01    0.35559E+04
    0.14547E-01    0.35586E+04
    0.14841E-01    0.35602E+04
    0.15141E-01    0.35609E+04
    0.15447E-01    0.35607E+04
    0.15759E-01    0.35595E+04
    0.16077E-01    0.35570E+04
    0.16402E-01    0.35529E+04
    0.16734E-01    0.35469E+04
    0.17072E-01    0.35387E+04
    0.17416E-01    0.35285E+04
    0.17768E-01    0.35162E+04
    0.18127E-01    0.35022E+04
    0.18493E-01    0.34867E+04
    0.18867E-01    0.34696E+04
    0.19248E-01    0.34510E+04
    0.19637E-01    0.34307E+04
    0.20034E-01    0.34085E+04
    0.20438E-01    0.33842E+04
    0.20851E-01    0.33576E+04
    0.21272E-01    0.33290E+04
    0.21702E-01    0.32985E+04
    0.22141E-01    0.32664E+04
    0.22588E-01    0.32329E+04
    0.23044E-01    0.31982E+04
    0.23510E-01    0.31624E+04
    0.23985E-01    0.31253E+04
    0.24469E-01    0.30872E+04
    0.24964E-01    0.30479E+04
    0.25468E-01    0.30076E+04
    0.25982E-01    0.29661E+04
    0.26507E-01    0.29236E+04
    0.27043E-01    0.28799E+04
    0.27589E-01    0.28351E+04
    0.28146E-01    0.27893E+04
    0.28715E-01    0.27425E+04
    0.29295E-01    0.26949E+04
    0.29887E-01    0.26466E+04
    0.30490E-01    0.25978E+04
    0.31106E-01    0.25485E+04
    0.31735E-01    0.24991E+04
    0.32376E-01    0.24497E+04
    0.33030E-01    0.24004E+04
    0.33697E-01    0.23514E+04
    0.34378E-01    0.23029E+04
    0.35072E-01    0.22551E+04
    0.35781E-01    0.22079E+04
    0.36504E-01    0.21615E+04
    0.37241E-01    0.21161E+04
    0.37993E-01    0.20716E+04
    0.38761E-01    0.20282E+04
    0.39544E-01    0.19859E+04
    0.40343E-01    0.19448E+04
    0.41158E-01    0.19050E+04
    0.41989E-01    0.18665E+04
    0.42838E-01    0.18294E+04
    0.43703E-01    0.17939E+04
    0.44586E-01    0.17602E+04
    0.45486E-01    0.17282E+04
    0.46405E-01    0.16980E+04
    0.47343E-01    0.16695E+04
    0.48299E-01    0.16425E+04
    0.49275E-01    0.16168E+04
    0.50270E-01    0.15924E+04
    0.51286E-01    0.15691E+04
    0.52322E-01    0.15467E+04
    0.53379E-01    0.15252E+04
    0.54457E-01    0.15045E+04
    0.55557E-01    0.14843E+04
    0.56680E-01    0.14646E+04
    0.57825E-01    0.14452E+04
    0.58993E-01    0.14259E+04
    0.60184E-01    0.14064E+04
    0.61400E-01    0.13866E+04
    0.62641E-01    0.13662E+04
    0.63906E-01    0.13448E+04
    0.65197E-01    0.13222E+04
