#           k/h    P           
    0.10000E-03    0.35794E+03
    0.10202E-03    0.36488E+03
    0.10408E-03    0.37195E+03
    0.10618E-03    0.37915E+03
    0.10833E-03    0.38650E+03
    0.11052E-03    0.39399E+03
    0.11275E-03    0.40162E+03
    0.11503E-03    0.40940E+03
    0.11735E-03    0.41733E+03
    0.11972E-03    0.42541E+03
    0.12214E-03    0.43365E+03
    0.12461E-03    0.44205E+03
    0.12712E-03    0.45061E+03
    0.12969E-03    0.45934E+03
    0.13231E-03    0.46824E+03
    0.13499E-03    0.47731E+03
    0.13771E-03    0.48655E+03
    0.14049E-03    0.49597E+03
    0.14333E-03    0.50557E+03
    0.14623E-03    0.51536E+03
    0.14918E-03    0.52534E+03
    0.15220E-03    0.53551E+03
    0.15527E-03    0.54588E+03
    0.15841E-03    0.55645E+03
    0.16161E-03    0.56722E+03
    0.16487E-03    0.57820E+03
    0.16820E-03    0.58939E+03
    0.17160E-03    0.60080E+03
    0.17507E-03    0.61242E+03
    0.17860E-03    0.62428E+03
    0.18221E-03    0.63636E+03
    0.18589E-03    0.64867E+03
    0.18965E-03    0.66122E+03
    0.19348E-03    0.67401E+03
    0.19739E-03    0.68705E+03
    0.20138E-03    0.70034E+03
    0.20544E-03    0.71389E+03
    0.20959E-03    0.72769E+03
    0.21383E-03    0.74176E+03
    0.21815E-03    0.75611E+03
    0.22255E-03    0.77072E+03
    0.22705E-03    0.78562E+03
    0.23164E-03    0.80081E+03
    0.23632E-03    0.81629E+03
    0.24109E-03    0.83206E+03
    0.24596E-03    0.84814E+03
    0.25093E-03    0.86452E+03
    0.25600E-03    0.88122E+03
    0.26117E-03    0.89824E+03
    0.26645E-03    0.91559E+03
    0.27183E-03    0.93327E+03
    0.27732E-03    0.95129E+03
    0.28292E-03    0.96965E+03
    0.28864E-03    0.98837E+03
    0.29447E-03    0.10074E+04
    0.30042E-03    0.10269E+04
    0.30649E-03    0.10467E+04
    0.31268E-03    0.10669E+04
    0.31899E-03    0.10874E+04
    0.32544E-03    0.11084E+04
    0.33201E-03    0.11298E+04
    0.33872E-03    0.11515E+04
    0.34556E-03    0.11737E+04
    0.35254E-03    0.11963E+04
    0.35966E-03    0.12194E+04
    0.36693E-03    0.12428E+04
    0.37434E-03    0.12667E+04
    0.38190E-03    0.12911E+04
    0.38962E-03    0.13160E+04
    0.39749E-03    0.13413E+04
    0.40552E-03    0.13670E+04
    0.41371E-03    0.13933E+04
    0.42207E-03    0.14201E+04
    0.43060E-03    0.14473E+04
    0.43929E-03    0.14751E+04
    0.44817E-03    0.15034E+04
    0.45722E-03    0.15323E+04
    0.46646E-03    0.15616E+04
    0.47588E-03    0.15916E+04
    0.48550E-03    0.16221E+04
    0.49530E-03    0.16531E+04
    0.50531E-03    0.16848E+04
    0.51552E-03    0.17170E+04
    0.52593E-03    0.17498E+04
    0.53656E-03    0.17833E+04
    0.54739E-03    0.18174E+04
    0.55845E-03    0.18521E+04
    0.56973E-03    0.18874E+04
    0.58124E-03    0.19234E+04
    0.59299E-03    0.19601E+04
    0.60496E-03    0.19974E+04
    0.61719E-03    0.20354E+04
    0.62965E-03    0.20741E+04
    0.64237E-03    0.21136E+04
    0.65535E-03    0.21537E+04
    0.66859E-03    0.21946E+04
    0.68210E-03    0.22363E+04
    0.69588E-03    0.22787E+04
    0.70993E-03    0.23218E+04
    0.72427E-03    0.23658E+04
    0.73891E-03    0.24105E+04
    0.75383E-03    0.24561E+04
    0.76906E-03    0.25025E+04
    0.78460E-03    0.25497E+04
    0.80045E-03    0.25978E+04
    0.81662E-03    0.26467E+04
    0.83311E-03    0.26965E+04
    0.84994E-03    0.27471E+04
    0.86711E-03    0.27987E+04
    0.88463E-03    0.28512E+04
    0.90250E-03    0.29046E+04
    0.92073E-03    0.29590E+04
    0.93933E-03    0.30143E+04
    0.95831E-03    0.30706E+04
    0.97767E-03    0.31279E+04
    0.99742E-03    0.31861E+04
    0.10176E-02    0.32454E+04
    0.10381E-02    0.33057E+04
    0.10591E-02    0.33670E+04
    0.10805E-02    0.34294E+04
    0.11023E-02    0.34929E+04
    0.11246E-02    0.35574E+04
    0.11473E-02    0.36231E+04
    0.11705E-02    0.36898E+04
    0.11941E-02    0.37577E+04
    0.12182E-02    0.38267E+04
    0.12429E-02    0.38968E+04
    0.12680E-02    0.39681E+04
    0.12936E-02    0.40406E+04
    0.13197E-02    0.41143E+04
    0.13464E-02    0.41892E+04
    0.13736E-02    0.42653E+04
    0.14013E-02    0.43426E+04
    0.14296E-02    0.44212E+04
    0.14585E-02    0.45010E+04
    0.14880E-02    0.45821E+04
    0.15180E-02    0.46645E+04
    0.15487E-02    0.47482E+04
    0.15800E-02    0.48331E+04
    0.16119E-02    0.49194E+04
    0.16445E-02    0.50071E+04
    0.16777E-02    0.50960E+04
    0.17116E-02    0.51864E+04
    0.17462E-02    0.52780E+04
    0.17814E-02    0.53711E+04
    0.18174E-02    0.54655E+04
    0.18541E-02    0.55613E+04
    0.18916E-02    0.56585E+04
    0.19298E-02    0.57571E+04
    0.19688E-02    0.58572E+04
    0.20086E-02    0.59586E+04
    0.20491E-02    0.60615E+04
    0.20905E-02    0.61658E+04
    0.21328E-02    0.62715E+04
    0.21758E-02    0.63787E+04
    0.22198E-02    0.64873E+04
    0.22646E-02    0.65973E+04
    0.23104E-02    0.67088E+04
    0.23571E-02    0.68218E+04
    0.24047E-02    0.69362E+04
    0.24533E-02    0.70521E+04
    0.25028E-02    0.71694E+04
    0.25534E-02    0.72881E+04
    0.26050E-02    0.74083E+04
    0.26576E-02    0.75300E+04
    0.27113E-02    0.76530E+04
    0.27660E-02    0.77775E+04
    0.28219E-02    0.79034E+04
    0.28789E-02    0.80308E+04
    0.29371E-02    0.81595E+04
    0.29964E-02    0.82896E+04
    0.30569E-02    0.84211E+04
    0.31187E-02    0.85540E+04
    0.31817E-02    0.86882E+04
    0.32460E-02    0.88237E+04
    0.33115E-02    0.89606E+04
    0.33784E-02    0.90988E+04
    0.34467E-02    0.92383E+04
    0.35163E-02    0.93790E+04
    0.35874E-02    0.95210E+04
    0.36598E-02    0.96642E+04
    0.37338E-02    0.98085E+04
    0.38092E-02    0.99538E+04
    0.38861E-02    0.10100E+05
    0.39646E-02    0.10248E+05
    0.40447E-02    0.10396E+05
    0.41264E-02    0.10546E+05
    0.42098E-02    0.10697E+05
    0.42948E-02    0.10850E+05
    0.43816E-02    0.11004E+05
    0.44701E-02    0.11157E+05
    0.45604E-02    0.11311E+05
    0.46525E-02    0.11463E+05
    0.47465E-02    0.11614E+05
    0.48424E-02    0.11765E+05
    0.49402E-02    0.11916E+05
    0.50400E-02    0.12067E+05
    0.51419E-02    0.12221E+05
    0.52457E-02    0.12376E+05
    0.53517E-02    0.12534E+05
    0.54598E-02    0.12693E+05
    0.55701E-02    0.12852E+05
    0.56826E-02    0.13011E+05
    0.57974E-02    0.13169E+05
    0.59145E-02    0.13327E+05
    0.60340E-02    0.13485E+05
    0.61559E-02    0.13642E+05
    0.62803E-02    0.13799E+05
    0.64072E-02    0.13955E+05
    0.65366E-02    0.14111E+05
    0.66686E-02    0.14266E+05
    0.68033E-02    0.14421E+05
    0.69408E-02    0.14575E+05
    0.70810E-02    0.14727E+05
    0.72240E-02    0.14879E+05
    0.73700E-02    0.15029E+05
    0.75189E-02    0.15178E+05
    0.76708E-02    0.15325E+05
    0.78257E-02    0.15471E+05
    0.79838E-02    0.15615E+05
    0.81451E-02    0.15757E+05
    0.83096E-02    0.15897E+05
    0.84775E-02    0.16035E+05
    0.86488E-02    0.16171E+05
    0.88235E-02    0.16304E+05
    0.90017E-02    0.16434E+05
    0.91836E-02    0.16562E+05
    0.93691E-02    0.16687E+05
    0.95583E-02    0.16808E+05
    0.97514E-02    0.16926E+05
    0.99484E-02    0.17041E+05
    0.10149E-01    0.17152E+05
    0.10354E-01    0.17260E+05
    0.10564E-01    0.17363E+05
    0.10777E-01    0.17462E+05
    0.10995E-01    0.17557E+05
    0.11217E-01    0.17647E+05
    0.11443E-01    0.17732E+05
    0.11675E-01    0.17812E+05
    0.11910E-01    0.17888E+05
    0.12151E-01    0.17957E+05
    0.12397E-01    0.18022E+05
    0.12647E-01    0.18081E+05
    0.12902E-01    0.18134E+05
    0.13163E-01    0.18181E+05
    0.13429E-01    0.18221E+05
    0.13700E-01    0.18254E+05
    0.13977E-01    0.18279E+05
    0.14259E-01    0.18297E+05
    0.14547E-01    0.18309E+05
    0.14841E-01    0.18315E+05
    0.15141E-01    0.18316E+05
    0.15447E-01    0.18312E+05
    0.15759E-01    0.18303E+05
    0.16077E-01    0.18288E+05
    0.16402E-01    0.18264E+05
    0.16734E-01    0.18230E+05
    0.17072E-01    0.18186E+05
    0.17416E-01    0.18130E+05
    0.17768E-01    0.18064E+05
    0.18127E-01    0.17990E+05
    0.18493E-01    0.17907E+05
    0.18867E-01    0.17816E+05
    0.19248E-01    0.17718E+05
    0.19637E-01    0.17611E+05
    0.20034E-01    0.17494E+05
    0.20438E-01    0.17366E+05
    0.20851E-01    0.17227E+05
    0.21272E-01    0.17077E+05
    0.21702E-01    0.16918E+05
    0.22141E-01    0.16750E+05
    0.22588E-01    0.16576E+05
    0.23044E-01    0.16395E+05
    0.23510E-01    0.16208E+05
    0.23985E-01    0.16016E+05
    0.24469E-01    0.15817E+05
    0.24964E-01    0.15614E+05
    0.25468E-01    0.15404E+05
    0.25982E-01    0.15189E+05
    0.26507E-01    0.14969E+05
    0.27043E-01    0.14743E+05
    0.27589E-01    0.14511E+05
    0.28146E-01    0.14274E+05
    0.28715E-01    0.14032E+05
    0.29295E-01    0.13787E+05
    0.29887E-01    0.13538E+05
    0.30490E-01    0.13286E+05
    0.31106E-01    0.13032E+05
    0.31735E-01    0.12778E+05
    0.32376E-01    0.12524E+05
    0.33030E-01    0.12270E+05
    0.33697E-01    0.12019E+05
    0.34378E-01    0.11770E+05
    0.35072E-01    0.11524E+05
    0.35781E-01    0.11282E+05
    0.36504E-01    0.11044E+05
    0.37241E-01    0.10811E+05
    0.37993E-01    0.10583E+05
    0.38761E-01    0.10360E+05
    0.39544E-01    0.10144E+05
    0.40343E-01    0.99336E+04
    0.41158E-01    0.97297E+04
    0.41989E-01    0.95326E+04
    0.42838E-01    0.93429E+04
    0.43703E-01    0.91613E+04
    0.44586E-01    0.89885E+04
    0.45486E-01    0.88248E+04
    0.46405E-01    0.86703E+04
    0.47343E-01    0.85242E+04
    0.48299E-01    0.83857E+04
    0.49275E-01    0.82540E+04
    0.50270E-01    0.81286E+04
    0.51286E-01    0.80087E+04
    0.52322E-01    0.78937E+04
    0.53379E-01    0.77832E+04
    0.54457E-01    0.76764E+04
    0.55557E-01    0.75726E+04
    0.56680E-01    0.74710E+04
    0.57825E-01    0.73708E+04
    0.58993E-01    0.72712E+04
    0.60184E-01    0.71710E+04
    0.61400E-01    0.70689E+04
    0.62641E-01    0.69639E+04
    0.63906E-01    0.68542E+04
