#           k/h    P           
    0.42098E-02    0.13958E+04
    0.42948E-02    0.14156E+04
    0.43816E-02    0.14355E+04
    0.44701E-02    0.14556E+04
    0.45604E-02    0.14757E+04
    0.46525E-02    0.14959E+04
    0.47465E-02    0.15162E+04
    0.48424E-02    0.15365E+04
    0.49402E-02    0.15570E+04
    0.50400E-02    0.15775E+04
    0.51419E-02    0.15981E+04
    0.52457E-02    0.16187E+04
    0.53517E-02    0.16394E+04
    0.54598E-02    0.16602E+04
    0.55701E-02    0.16810E+04
    0.56826E-02    0.17018E+04
    0.57974E-02    0.17226E+04
    0.59145E-02    0.17434E+04
    0.60340E-02    0.17641E+04
    0.61559E-02    0.17848E+04
    0.62803E-02    0.18055E+04
    0.64072E-02    0.18261E+04
    0.65366E-02    0.18467E+04
    0.66686E-02    0.18671E+04
    0.68033E-02    0.18875E+04
    0.69408E-02    0.19078E+04
    0.70810E-02    0.19279E+04
    0.72240E-02    0.19479E+04
    0.73700E-02    0.19677E+04
    0.75189E-02    0.19874E+04
    0.76708E-02    0.20069E+04
    0.78257E-02    0.20261E+04
    0.79838E-02    0.20452E+04
    0.81451E-02    0.20640E+04
    0.83096E-02    0.20825E+04
    0.84775E-02    0.21008E+04
    0.86488E-02    0.21187E+04
    0.88235E-02    0.21364E+04
    0.90017E-02    0.21537E+04
    0.91836E-02    0.21706E+04
    0.93691E-02    0.21872E+04
    0.95583E-02    0.22033E+04
    0.97514E-02    0.22191E+04
    0.99484E-02    0.22344E+04
    0.10149E-01    0.22492E+04
    0.10354E-01    0.22635E+04
    0.10564E-01    0.22773E+04
    0.10777E-01    0.22906E+04
    0.10995E-01    0.23033E+04
    0.11217E-01    0.23154E+04
    0.11443E-01    0.23268E+04
    0.11675E-01    0.23377E+04
    0.11910E-01    0.23478E+04
    0.12151E-01    0.23573E+04
    0.12397E-01    0.23661E+04
    0.12647E-01    0.23741E+04
    0.12902E-01    0.23814E+04
    0.13163E-01    0.23879E+04
    0.13429E-01    0.23935E+04
    0.13700E-01    0.23982E+04
    0.13977E-01    0.24018E+04
    0.14259E-01    0.24046E+04
    0.14547E-01    0.24065E+04
    0.14841E-01    0.24076E+04
    0.15141E-01    0.24081E+04
    0.15447E-01    0.24080E+04
    0.15759E-01    0.24072E+04
    0.16077E-01    0.24056E+04
    0.16402E-01    0.24028E+04
    0.16734E-01    0.23988E+04
    0.17072E-01    0.23934E+04
    0.17416E-01    0.23864E+04
    0.17768E-01    0.23782E+04
    0.18127E-01    0.23688E+04
    0.18493E-01    0.23583E+04
    0.18867E-01    0.23468E+04
    0.19248E-01    0.23343E+04
    0.19637E-01    0.23206E+04
    0.20034E-01    0.23056E+04
    0.20438E-01    0.22892E+04
    0.20851E-01    0.22713E+04
    0.21272E-01    0.22519E+04
    0.21702E-01    0.22314E+04
    0.22141E-01    0.22097E+04
    0.22588E-01    0.21871E+04
    0.23044E-01    0.21636E+04
    0.23510E-01    0.21394E+04
    0.23985E-01    0.21144E+04
    0.24469E-01    0.20886E+04
    0.24964E-01    0.20621E+04
    0.25468E-01    0.20348E+04
    0.25982E-01    0.20068E+04
    0.26507E-01    0.19781E+04
    0.27043E-01    0.19486E+04
    0.27589E-01    0.19183E+04
    0.28146E-01    0.18873E+04
    0.28715E-01    0.18557E+04
    0.29295E-01    0.18235E+04
    0.29887E-01    0.17908E+04
    0.30490E-01    0.17578E+04
    0.31106E-01    0.17245E+04
