#           k/h    P           
    0.10000E-03    0.12814E+03
    0.10202E-03    0.13062E+03
    0.10408E-03    0.13315E+03
    0.10618E-03    0.13573E+03
    0.10833E-03    0.13836E+03
    0.11052E-03    0.14104E+03
    0.11275E-03    0.14377E+03
    0.11503E-03    0.14656E+03
    0.11735E-03    0.14940E+03
    0.11972E-03    0.15229E+03
    0.12214E-03    0.15524E+03
    0.12461E-03    0.15825E+03
    0.12712E-03    0.16132E+03
    0.12969E-03    0.16444E+03
    0.13231E-03    0.16762E+03
    0.13499E-03    0.17087E+03
    0.13771E-03    0.17418E+03
    0.14049E-03    0.17755E+03
    0.14333E-03    0.18099E+03
    0.14623E-03    0.18450E+03
    0.14918E-03    0.18807E+03
    0.15220E-03    0.19171E+03
    0.15527E-03    0.19542E+03
    0.15841E-03    0.19921E+03
    0.16161E-03    0.20306E+03
    0.16487E-03    0.20700E+03
    0.16820E-03    0.21100E+03
    0.17160E-03    0.21509E+03
    0.17507E-03    0.21925E+03
    0.17860E-03    0.22349E+03
    0.18221E-03    0.22782E+03
    0.18589E-03    0.23223E+03
    0.18965E-03    0.23672E+03
    0.19348E-03    0.24130E+03
    0.19739E-03    0.24597E+03
    0.20138E-03    0.25073E+03
    0.20544E-03    0.25558E+03
    0.20959E-03    0.26052E+03
    0.21383E-03    0.26556E+03
    0.21815E-03    0.27070E+03
    0.22255E-03    0.27593E+03
    0.22705E-03    0.28127E+03
    0.23164E-03    0.28671E+03
    0.23632E-03    0.29225E+03
    0.24109E-03    0.29790E+03
    0.24596E-03    0.30366E+03
    0.25093E-03    0.30953E+03
    0.25600E-03    0.31551E+03
    0.26117E-03    0.32160E+03
    0.26645E-03    0.32782E+03
    0.27183E-03    0.33415E+03
    0.27732E-03    0.34060E+03
    0.28292E-03    0.34718E+03
    0.28864E-03    0.35388E+03
    0.29447E-03    0.36071E+03
    0.30042E-03    0.36768E+03
    0.30649E-03    0.37477E+03
    0.31268E-03    0.38200E+03
    0.31899E-03    0.38937E+03
    0.32544E-03    0.39688E+03
    0.33201E-03    0.40453E+03
    0.33872E-03    0.41233E+03
    0.34556E-03    0.42028E+03
    0.35254E-03    0.42838E+03
    0.35966E-03    0.43663E+03
    0.36693E-03    0.44504E+03
    0.37434E-03    0.45361E+03
    0.38190E-03    0.46235E+03
    0.38962E-03    0.47124E+03
    0.39749E-03    0.48031E+03
    0.40552E-03    0.48955E+03
    0.41371E-03    0.49896E+03
    0.42207E-03    0.50855E+03
    0.43060E-03    0.51833E+03
    0.43929E-03    0.52828E+03
    0.44817E-03    0.53843E+03
    0.45722E-03    0.54877E+03
    0.46646E-03    0.55930E+03
    0.47588E-03    0.57002E+03
    0.48550E-03    0.58095E+03
    0.49530E-03    0.59209E+03
    0.50531E-03    0.60343E+03
    0.51552E-03    0.61499E+03
    0.52593E-03    0.62676E+03
    0.53656E-03    0.63875E+03
    0.54739E-03    0.65096E+03
    0.55845E-03    0.66340E+03
    0.56973E-03    0.67607E+03
    0.58124E-03    0.68898E+03
    0.59299E-03    0.70213E+03
    0.60496E-03    0.71552E+03
    0.61719E-03    0.72915E+03
    0.62965E-03    0.74304E+03
    0.64237E-03    0.75718E+03
    0.65535E-03    0.77158E+03
    0.66859E-03    0.78625E+03
    0.68210E-03    0.80118E+03
    0.69588E-03    0.81639E+03
    0.70993E-03    0.83187E+03
    0.72427E-03    0.84763E+03
    0.73891E-03    0.86368E+03
