#           k/h    P           
    0.10000E-03    0.86519E+02
    0.10202E-03    0.88196E+02
    0.10408E-03    0.89905E+02
    0.10618E-03    0.91647E+02
    0.10833E-03    0.93422E+02
    0.11052E-03    0.95232E+02
    0.11275E-03    0.97077E+02
    0.11503E-03    0.98958E+02
    0.11735E-03    0.10088E+03
    0.11972E-03    0.10283E+03
    0.12214E-03    0.10482E+03
    0.12461E-03    0.10685E+03
    0.12712E-03    0.10892E+03
    0.12969E-03    0.11103E+03
    0.13231E-03    0.11318E+03
    0.13499E-03    0.11537E+03
    0.13771E-03    0.11761E+03
    0.14049E-03    0.11989E+03
    0.14333E-03    0.12221E+03
    0.14623E-03    0.12458E+03
    0.14918E-03    0.12699E+03
    0.15220E-03    0.12945E+03
    0.15527E-03    0.13195E+03
    0.15841E-03    0.13451E+03
    0.16161E-03    0.13711E+03
    0.16487E-03    0.13977E+03
    0.16820E-03    0.14247E+03
    0.17160E-03    0.14523E+03
    0.17507E-03    0.14804E+03
    0.17860E-03    0.15091E+03
    0.18221E-03    0.15383E+03
    0.18589E-03    0.15681E+03
    0.18965E-03    0.15984E+03
    0.19348E-03    0.16293E+03
    0.19739E-03    0.16609E+03
    0.20138E-03    0.16930E+03
    0.20544E-03    0.17258E+03
    0.20959E-03    0.17591E+03
    0.21383E-03    0.17932E+03
    0.21815E-03    0.18278E+03
    0.22255E-03    0.18632E+03
    0.22705E-03    0.18992E+03
    0.23164E-03    0.19360E+03
    0.23632E-03    0.19734E+03
    0.24109E-03    0.20115E+03
    0.24596E-03    0.20504E+03
    0.25093E-03    0.20901E+03
    0.25600E-03    0.21304E+03
    0.26117E-03    0.21716E+03
    0.26645E-03    0.22136E+03
    0.27183E-03    0.22563E+03
    0.27732E-03    0.22999E+03
    0.28292E-03    0.23443E+03
    0.28864E-03    0.23896E+03
    0.29447E-03    0.24357E+03
    0.30042E-03    0.24828E+03
    0.30649E-03    0.25307E+03
    0.31268E-03    0.25795E+03
    0.31899E-03    0.26293E+03
    0.32544E-03    0.26800E+03
    0.33201E-03    0.27317E+03
    0.33872E-03    0.27844E+03
    0.34556E-03    0.28381E+03
    0.35254E-03    0.28928E+03
    0.35966E-03    0.29485E+03
    0.36693E-03    0.30053E+03
    0.37434E-03    0.30632E+03
    0.38190E-03    0.31222E+03
    0.38962E-03    0.31823E+03
    0.39749E-03    0.32435E+03
    0.40552E-03    0.33059E+03
    0.41371E-03    0.33695E+03
    0.42207E-03    0.34343E+03
    0.43060E-03    0.35003E+03
    0.43929E-03    0.35676E+03
    0.44817E-03    0.36361E+03
