#           k/h    P           
    0.10000E-03    0.42591E+02
    0.10202E-03    0.43416E+02
    0.10408E-03    0.44257E+02
    0.10618E-03    0.45115E+02
    0.10833E-03    0.45989E+02
    0.11052E-03    0.46880E+02
    0.11275E-03    0.47788E+02
    0.11503E-03    0.48714E+02
    0.11735E-03    0.49658E+02
    0.11972E-03    0.50620E+02
    0.12214E-03    0.51601E+02
    0.12461E-03    0.52600E+02
    0.12712E-03    0.53619E+02
    0.12969E-03    0.54658E+02
    0.13231E-03    0.55717E+02
    0.13499E-03    0.56796E+02
    0.13771E-03    0.57896E+02
    0.14049E-03    0.59017E+02
    0.14333E-03    0.60160E+02
    0.14623E-03    0.61326E+02
    0.14918E-03    0.62513E+02
    0.15220E-03    0.63724E+02
    0.15527E-03    0.64958E+02
    0.15841E-03    0.66216E+02
    0.16161E-03    0.67498E+02
    0.16487E-03    0.68805E+02
    0.16820E-03    0.70137E+02
    0.17160E-03    0.71495E+02
    0.17507E-03    0.72879E+02
    0.17860E-03    0.74290E+02
    0.18221E-03    0.75728E+02
    0.18589E-03    0.77194E+02
    0.18965E-03    0.78688E+02
    0.19348E-03    0.80211E+02
    0.19739E-03    0.81763E+02
    0.20138E-03    0.83345E+02
    0.20544E-03    0.84958E+02
    0.20959E-03    0.86602E+02
    0.21383E-03    0.88277E+02
    0.21815E-03    0.89985E+02
    0.22255E-03    0.91726E+02
    0.22705E-03    0.93500E+02
    0.23164E-03    0.95308E+02
    0.23632E-03    0.97152E+02
    0.24109E-03    0.99030E+02
    0.24596E-03    0.10095E+03
    0.25093E-03    0.10290E+03
    0.25600E-03    0.10489E+03
    0.26117E-03    0.10691E+03
    0.26645E-03    0.10898E+03
    0.27183E-03    0.11109E+03
    0.27732E-03    0.11323E+03
    0.28292E-03    0.11542E+03
    0.28864E-03    0.11765E+03
    0.29447E-03    0.11992E+03
    0.30042E-03    0.12224E+03
    0.30649E-03    0.12460E+03
    0.31268E-03    0.12700E+03
    0.31899E-03    0.12945E+03
    0.32544E-03    0.13195E+03
    0.33201E-03    0.13450E+03
    0.33872E-03    0.13709E+03
    0.34556E-03    0.13974E+03
    0.35254E-03    0.14243E+03
    0.35966E-03    0.14518E+03
    0.36693E-03    0.14797E+03
    0.37434E-03    0.15083E+03
    0.38190E-03    0.15373E+03
    0.38962E-03    0.15669E+03
    0.39749E-03    0.15971E+03
    0.40552E-03    0.16278E+03
    0.41371E-03    0.16592E+03
    0.42207E-03    0.16911E+03
    0.43060E-03    0.17236E+03
    0.43929E-03    0.17568E+03
    0.44817E-03    0.17905E+03
    0.45722E-03    0.18249E+03
    0.46646E-03    0.18600E+03
    0.47588E-03    0.18957E+03
    0.48550E-03    0.19321E+03
    0.49530E-03    0.19692E+03
    0.50531E-03    0.20069E+03
    0.51552E-03    0.20454E+03
    0.52593E-03    0.20846E+03
    0.53656E-03    0.21245E+03
    0.54739E-03    0.21652E+03
    0.55845E-03    0.22067E+03
    0.56973E-03    0.22489E+03
    0.58124E-03    0.22919E+03
    0.59299E-03    0.23357E+03
    0.60496E-03    0.23803E+03
    0.61719E-03    0.24257E+03
    0.62965E-03    0.24720E+03
    0.64237E-03    0.25191E+03
    0.65535E-03    0.25671E+03
    0.66859E-03    0.26159E+03
    0.68210E-03    0.26657E+03
    0.69588E-03    0.27164E+03
    0.70993E-03    0.27680E+03
    0.72427E-03    0.28205E+03
    0.73891E-03    0.28740E+03
    0.75383E-03    0.29285E+03
    0.76906E-03    0.29840E+03
    0.78460E-03    0.30404E+03
    0.80045E-03    0.30979E+03
    0.81662E-03    0.31564E+03
    0.83311E-03    0.32160E+03
    0.84994E-03    0.32766E+03
    0.86711E-03    0.33383E+03
    0.88463E-03    0.34011E+03
    0.90250E-03    0.34650E+03
    0.92073E-03    0.35300E+03
    0.93933E-03    0.35962E+03
    0.95831E-03    0.36636E+03
    0.97767E-03    0.37321E+03
    0.99742E-03    0.38018E+03
    0.10176E-02    0.38727E+03
    0.10381E-02    0.39449E+03
    0.10591E-02    0.40182E+03
    0.10805E-02    0.40929E+03
    0.11023E-02    0.41688E+03
    0.11246E-02    0.42460E+03
    0.11473E-02    0.43246E+03
    0.11705E-02    0.44044E+03
    0.11941E-02    0.44856E+03
    0.12182E-02    0.45682E+03
    0.12429E-02    0.46521E+03
    0.12680E-02    0.47374E+03
    0.12936E-02    0.48242E+03
    0.13197E-02    0.49123E+03
    0.13464E-02    0.50019E+03
    0.13736E-02    0.50929E+03
    0.14013E-02    0.51855E+03
    0.14296E-02    0.52795E+03
    0.14585E-02    0.53750E+03
    0.14880E-02    0.54720E+03
    0.15180E-02    0.55705E+03
    0.15487E-02    0.56706E+03
    0.15800E-02    0.57723E+03
    0.16119E-02    0.58755E+03
    0.16445E-02    0.59803E+03
    0.16777E-02    0.60868E+03
    0.17116E-02    0.61948E+03
    0.17462E-02    0.63044E+03
    0.17814E-02    0.64157E+03
    0.18174E-02    0.65287E+03
    0.18541E-02    0.66433E+03
    0.18916E-02    0.67596E+03
    0.19298E-02    0.68775E+03
    0.19688E-02    0.69972E+03
    0.20086E-02    0.71185E+03
    0.20491E-02    0.72416E+03
    0.20905E-02    0.73663E+03
    0.21328E-02    0.74928E+03
    0.21758E-02    0.76210E+03
    0.22198E-02    0.77509E+03
    0.22646E-02    0.78826E+03
    0.23104E-02    0.80160E+03
    0.23571E-02    0.81511E+03
    0.24047E-02    0.82880E+03
    0.24533E-02    0.84266E+03
    0.25028E-02    0.85669E+03
    0.25534E-02    0.87090E+03
    0.26050E-02    0.88528E+03
    0.26576E-02    0.89983E+03
    0.27113E-02    0.91456E+03
    0.27660E-02    0.92945E+03
    0.28219E-02    0.94452E+03
    0.28789E-02    0.95975E+03
    0.29371E-02    0.97515E+03
    0.29964E-02    0.99072E+03
    0.30569E-02    0.10065E+04
    0.31187E-02    0.10224E+04
    0.31817E-02    0.10384E+04
    0.32460E-02    0.10546E+04
    0.33115E-02    0.10710E+04
    0.33784E-02    0.10876E+04
    0.34467E-02    0.11042E+04
    0.35163E-02    0.11211E+04
    0.35874E-02    0.11381E+04
    0.36598E-02    0.11552E+04
    0.37338E-02    0.11725E+04
    0.38092E-02    0.11899E+04
    0.38861E-02    0.12074E+04
    0.39646E-02    0.12251E+04
    0.40447E-02    0.12429E+04
    0.41264E-02    0.12608E+04
    0.42098E-02    0.12789E+04
    0.42948E-02    0.12971E+04
    0.43816E-02    0.13153E+04
    0.44701E-02    0.13337E+04
    0.45604E-02    0.13521E+04
    0.46525E-02    0.13707E+04
    0.47465E-02    0.13893E+04
    0.48424E-02    0.14079E+04
    0.49402E-02    0.14266E+04
    0.50400E-02    0.14454E+04
    0.51419E-02    0.14643E+04
    0.52457E-02    0.14832E+04
    0.53517E-02    0.15022E+04
    0.54598E-02    0.15213E+04
    0.55701E-02    0.15403E+04
    0.56826E-02    0.15594E+04
    0.57974E-02    0.15784E+04
    0.59145E-02    0.15975E+04
    0.60340E-02    0.16165E+04
    0.61559E-02    0.16355E+04
    0.62803E-02    0.16544E+04
    0.64072E-02    0.16733E+04
    0.65366E-02    0.16922E+04
    0.66686E-02    0.17109E+04
    0.68033E-02    0.17296E+04
    0.69408E-02    0.17482E+04
    0.70810E-02    0.17666E+04
    0.72240E-02    0.17849E+04
    0.73700E-02    0.18031E+04
    0.75189E-02    0.18211E+04
    0.76708E-02    0.18390E+04
    0.78257E-02    0.18566E+04
    0.79838E-02    0.18741E+04
    0.81451E-02    0.18913E+04
    0.83096E-02    0.19083E+04
    0.84775E-02    0.19250E+04
    0.86488E-02    0.19415E+04
    0.88235E-02    0.19577E+04
    0.90017E-02    0.19735E+04
    0.91836E-02    0.19891E+04
    0.93691E-02    0.20043E+04
